"Qty";"Value";"Device";"Package";"Parts";"Description";"MFR_ID";"TOL"
"2";;"FERRITE_0603MP";"_0603MP";"FB1, FB2";"Ferrite Bead";"BLM18RK102SN1D";
"7";"0.1uF";"CAPACITOR_0201";"PART";"C4, C5, C8, C16, C17, C19, C20";;"GRM033C80J104KE84D";
"1";"0.47uF";"CAPACITOR_0201";"PART";"C15";;"C0603X5R0J474K030BC";
"1";"0.8pF";"CAPACITOR_0201";"PART";"C3";;"GJM0335C1ER80BB01D";"NP0, 5%"
"1";"100pF";"CAPACITOR_0201";"PART";"C7";;"C0201C101J3GACTU";"NP0, 5%"
"1";"10K";"RESISTOR_0201";"PART";"R6";;"CRCW020110K0FNED";
"1";"10nF";"CAPACITOR_0201";"PART";"C18";;"GRM033R71A103KA01D";
"2";"10pF";"CAPACITOR_0201";"PART";"C1, C2";;"GRM0335C1E100GA01D";"NP0, 2%"
"1";"10uH";"INDUCTOR_0603MP";"_0603MP";"L2";"Inductors";"LQM18FN100M00D";"Chip, IDC min 50mA 20%"
"1";"15nH";"INDUCTOR_0402MP";"_0402MP";"L3";"Inductors";"LQW15AN15NH00D";"HF Chip 10%"
"13";"DNP";"1X1_ROUND";"1X1_ROUND";"PIN1, PIN2, PIN3, PIN4, PIN7, PIN8, PIN9, PIN10, PIN13, PIN14, PIN25, PIN26, PIN27";;;
"1";"1uF";"CAPACITOR_0201";"PART";"C10";;"02016D105KAT2A";"X7R, 10%"
"2";"2.2K";"RESISTOR_0201";"PART";"R2, R3";;"CRCW02012K20JNED";
"2";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"C13, C14";"Ceramic Capacitors";"C1005X5R1A225K050BC";
"1";"3.9nH";"INDUCTOR_0402MP";"_0402MP";"L1";"Inductors";"744765039A";"HF Chip 5%"
"1";"32MHz";"ABM11-48.000MHZ-D2X-T3";"ABM11";"XTAL";"Mouser part 815-ABM11-48-D2XT3";"ABM11-32.000MHZ-B7G-T";
"3";"330";"RESISTOR_0201";"PART";"R1, R4, R5";;"CRCW0201330RJNED";
"1";"4.7uF";"CAP_CERAMIC_0402MP";"_0402MP";"C9";"Ceramic Capacitors";"C1005X5R1A475K050BC";"X5R, 10%"
"2";"4pF";"CAPACITOR_0201";"PART";"C11, C12";;"GRM0335C1H4R0BA01D";"NP0, 2%"
"1";"ABS06-107-32.768KHZ-T";"ABS06-107-32.768KHZ-T";"ABS06-107-32.768KHZ-T";"XOSC32K";"ABS06-107-32.768kHz-T Crystal Oscillator";"ABS06-107-32.768kHz-T";
"2";"DNP";"CAPACITOR_0201";"PART";"CTUNE1, CTUNE2";;;
"1";"LRTB_R48G";"LRTB_R48G";"LRTB_R48G";"LED1";;"LRTB R48G";
"1";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"LDO_VREG";"Microchip LDO ""MCP1700"" in a 3-Pin SOT-23 package.";"MCP1700T-3302E/TT";
"1";"MPU-9250";"MPU-9250";"QFN_3X3MM";"IMU1";;"MPU-9250";
"1";"MS5611-01BA03";"MS5611-01BA03";"MS5611-01BA03";"BARO1";;"MS561101BA03-50";
"1";"NRF52832_QFN48";"NRF52832_QFN48";"QFN48";"IC1";"Nordic nRF52832 QFN48 chip (6mm x 6mm). Supports BT 4.2, NFC, iPv6";"NRF52832-QFAA-R";
"1";"PULSE_ANT_2.4GHZ";"PULSE_ANT_2.4GHZ";"ANT_BAR";"ANTBAR";"Manufacturer part #W3008";"W3008";
"1";"SPST_SMD";"SPST_SMD";"SPST_SMD";"RESET_JMP";;;
