##########################################################################,,,,,
       Name: Placement Bill of Materials Generator,,,,,
,,,,,
    Version: 4 (2-sided, top),,,,
         By: Small Batch Assembly,,,,,
        URL: www.smallbatchassembly.com,,,,,
 SourceFile: femto-beacon-esp32coin-PANEL.brd,,,,,
   DateTime: 4/24/19 7:05 PM,,,,,
      Units: inches,,,,,
##########################################################################,,,,,
REF,PACKAGE,VALUE,X,Y,ROTATION
ANT1   ,479480001,479480001,0.52,0.235,0
ANT2   ,479480001,479480001,0.52,1.235,0
ANT3   ,479480001,479480001,1.47,0.235,0
ANT4   ,479480001,479480001,1.47,1.235,0
ANT5   ,479480001,479480001,2.42,0.235,0
ANT6   ,479480001,479480001,2.42,1.235,0
ANT7   ,479480001,479480001,3.37,0.235,0
ANT8   ,479480001,479480001,3.37,1.235,0
ANT9   ,479480001,479480001,4.32,0.235,0
ANT10   ,479480001,479480001,4.32,1.235,0
BOOT1   , SIDE_ACT_NO_GND_NO_BOSS            , TACTILE_SWITCH_NO_GND_NO_BOSS     ,0.7725,0.5868,287.5
BOOT2   , SIDE_ACT_NO_GND_NO_BOSS            , TACTILE_SWITCH_NO_GND_NO_BOSS     ,0.7725,1.5868,287.5
BOOT3   , SIDE_ACT_NO_GND_NO_BOSS            , TACTILE_SWITCH_NO_GND_NO_BOSS     ,1.7225,0.5868,287.5
BOOT4   , SIDE_ACT_NO_GND_NO_BOSS            , TACTILE_SWITCH_NO_GND_NO_BOSS     ,1.7225,1.5868,287.5
BOOT5   , SIDE_ACT_NO_GND_NO_BOSS            , TACTILE_SWITCH_NO_GND_NO_BOSS     ,2.6725,0.5868,287.5
BOOT6   , SIDE_ACT_NO_GND_NO_BOSS            , TACTILE_SWITCH_NO_GND_NO_BOSS     ,2.6725,1.5868,287.5
BOOT7   , SIDE_ACT_NO_GND_NO_BOSS            , TACTILE_SWITCH_NO_GND_NO_BOSS     ,3.6225,0.5868,287.5
BOOT8   , SIDE_ACT_NO_GND_NO_BOSS            , TACTILE_SWITCH_NO_GND_NO_BOSS     ,3.6225,1.5868,287.5
BOOT9   , SIDE_ACT_NO_GND_NO_BOSS            , TACTILE_SWITCH_NO_GND_NO_BOSS     ,4.5725,0.5868,287.5
BOOT10   , SIDE_ACT_NO_GND_NO_BOSS            , TACTILE_SWITCH_NO_GND_NO_BOSS     ,4.5725,1.5868,287.5
C1   , PART            , 1uF     ,0.3175,0.3325,0
C2   , _0402MP            , 2.2uF     ,0.478,0.6925,90
C3   , _0402MP            , 2.2uF     ,0.4325,0.8089,0
C4   , PART            , 10pF     ,0.265,0.505,180
C5   , PART            , 10pF     ,0.26,0.625,0
C6   , PART            , 270pF     ,0.486,0.3475,90
C7   , PART            , 270pF     ,0.5125,0.3475,270
C8   , PART            , 6.8pF     ,0.425,0.295,90
C9   , PART            , 2.4pF     ,0.41,0.2475,0
C10   , _0603MP            , 10uF     ,0.335,0.4075,0
C11   , _0603MP            , 10uF     ,0.335,0.3675,0
C12   , PART            , 0.1uF     ,0.3275,0.3,0
C13   , PART            , 0.1uF     ,0.355,0.2475,180
C14   , _0402MP            , 0.47uF     ,0.56,0.755,90
C15   , PART            , 1uF     ,0.3227,0.5525,0
C16   , PART            , 100pF     ,0.3227,0.58,0
C17   , PART            , 0.1uF     ,0.445,0.3725,90
C18   , PART            , 1uF     ,0.565,0.6725,270
C19   , PART            , 0.1uF     ,0.68,0.5225,180
C20   , PART            , 10nF/6.3V(10%)     ,0.28,0.4522,270
C21   , PART            , 3.3nF/6.3V(10%)     ,0.3475,0.452,90
C22   , PART            , 0.1uF     ,0.5525,0.3475,90
C23   , PART            , 4.1pF     ,0.79,0.405,180
C24   , PART            , 4.1pF     ,0.79,0.455,0
C25   , PART            , 270pF     ,0.486,1.3475,90
C26   , PART            , 1uF     ,0.3175,1.3325,0
C27   , _0402MP            , 2.2uF     ,0.478,1.6925,90
C28   , _0402MP            , 2.2uF     ,0.4325,1.8089,0
C29   , PART            , 10pF     ,0.265,1.505,180
C30   , PART            , 10pF     ,0.26,1.625,0
C31   , PART            , 270pF     ,0.5125,1.3475,270
C32   , PART            , 6.8pF     ,0.425,1.295,90
C33   , PART            , 2.4pF     ,0.41,1.2475,0
C34   , _0603MP            , 10uF     ,0.335,1.4075,0
C35   , _0603MP            , 10uF     ,0.335,1.3675,0
C36   , PART            , 0.1uF     ,0.3275,1.3,0
C37   , PART            , 0.1uF     ,0.355,1.2475,180
C38   , _0402MP            , 0.47uF     ,0.56,1.755,90
C39   , PART            , 1uF     ,0.3227,1.5525,0
C40   , PART            , 100pF     ,0.3227,1.58,0
C41   , PART            , 0.1uF     ,0.445,1.3725,90
C42   , PART            , 1uF     ,0.565,1.6725,270
C43   , PART            , 0.1uF     ,0.68,1.5225,180
C44   , PART            , 10nF/6.3V(10%)     ,0.28,1.4523,270
C45   , PART            , 3.3nF/6.3V(10%)     ,0.3475,1.452,90
C46   , PART            , 0.1uF     ,0.5525,1.3475,90
C47   , PART            , 4.1pF     ,0.79,1.405,180
C48   , PART            , 4.1pF     ,0.79,1.455,0
C49   , PART            , 270pF     ,1.436,0.3475,90
C50   , PART            , 1uF     ,1.2675,0.3325,0
C51   , _0402MP            , 2.2uF     ,1.428,0.6925,90
C52   , _0402MP            , 2.2uF     ,1.3825,0.8089,0
C53   , PART            , 10pF     ,1.215,0.505,180
C54   , PART            , 10pF     ,1.21,0.625,0
C55   , PART            , 270pF     ,1.4625,0.3475,270
C56   , PART            , 6.8pF     ,1.375,0.295,90
C57   , PART            , 2.4pF     ,1.36,0.2475,0
C58   , _0603MP            , 10uF     ,1.285,0.4075,0
C59   , _0603MP            , 10uF     ,1.285,0.3675,0
C60   , PART            , 0.1uF     ,1.2775,0.3,0
C61   , PART            , 0.1uF     ,1.305,0.2475,180
C62   , _0402MP            , 0.47uF     ,1.51,0.755,90
C63   , PART            , 1uF     ,1.2728,0.5525,0
C64   , PART            , 100pF     ,1.2728,0.58,0
C65   , PART            , 0.1uF     ,1.395,0.3725,90
C66   , PART            , 1uF     ,1.515,0.6725,270
C67   , PART            , 0.1uF     ,1.63,0.5225,180
C68   , PART            , 10nF/6.3V(10%)     ,1.23,0.4522,270
C69   , PART            , 3.3nF/6.3V(10%)     ,1.2975,0.452,90
C70   , PART            , 0.1uF     ,1.5025,0.3475,90
C71   , PART            , 4.1pF     ,1.74,0.405,180
C72   , PART            , 4.1pF     ,1.74,0.455,0
C73   , PART            , 270pF     ,1.436,1.3475,90
C74   , PART            , 1uF     ,1.2675,1.3325,0
C75   , _0402MP            , 2.2uF     ,1.428,1.6925,90
C76   , _0402MP            , 2.2uF     ,1.3825,1.8089,0
C77   , PART            , 10pF     ,1.215,1.505,180
C78   , PART            , 10pF     ,1.21,1.625,0
C79   , PART            , 270pF     ,1.4625,1.3475,270
C80   , PART            , 6.8pF     ,1.375,1.295,90
C81   , PART            , 2.4pF     ,1.36,1.2475,0
C82   , _0603MP            , 10uF     ,1.285,1.4075,0
C83   , _0603MP            , 10uF     ,1.285,1.3675,0
C84   , PART            , 0.1uF     ,1.2775,1.3,0
C85   , PART            , 0.1uF     ,1.305,1.2475,180
C86   , _0402MP            , 0.47uF     ,1.51,1.755,90
C87   , PART            , 1uF     ,1.2728,1.5525,0
C88   , PART            , 100pF     ,1.2728,1.58,0
C89   , PART            , 0.1uF     ,1.395,1.3725,90
C90   , PART            , 1uF     ,1.515,1.6725,270
C91   , PART            , 0.1uF     ,1.63,1.5225,180
C92   , PART            , 10nF/6.3V(10%)     ,1.23,1.4523,270
C93   , PART            , 3.3nF/6.3V(10%)     ,1.2975,1.452,90
C94   , PART            , 0.1uF     ,1.5025,1.3475,90
C95   , PART            , 4.1pF     ,1.74,1.405,180
C96   , PART            , 4.1pF     ,1.74,1.455,0
C97   , PART            , 270pF     ,2.386,0.3475,90
C98   , PART            , 1uF     ,2.2175,0.3325,0
C99   , _0402MP            , 2.2uF     ,2.378,0.6925,90
C100   , _0402MP            , 2.2uF     ,2.3325,0.8089,0
C101   , PART            , 10pF     ,2.165,0.505,180
C102   , PART            , 10pF     ,2.16,0.625,0
C103   , PART            , 270pF     ,2.4125,0.3475,270
C104   , PART            , 6.8pF     ,2.325,0.295,90
C105   , PART            , 2.4pF     ,2.31,0.2475,0
C106   , _0603MP            , 10uF     ,2.235,0.4075,0
C107   , _0603MP            , 10uF     ,2.235,0.3675,0
C108   , PART            , 0.1uF     ,2.2275,0.3,0
C109   , PART            , 0.1uF     ,2.255,0.2475,180
C110   , _0402MP            , 0.47uF     ,2.46,0.755,90
C111   , PART            , 1uF     ,2.2228,0.5525,0
C112   , PART            , 100pF     ,2.2228,0.58,0
C113   , PART            , 0.1uF     ,2.345,0.3725,90
C114   , PART            , 1uF     ,2.465,0.6725,270
C115   , PART            , 0.1uF     ,2.58,0.5225,180
C116   , PART            , 10nF/6.3V(10%)     ,2.18,0.4522,270
C117   , PART            , 3.3nF/6.3V(10%)     ,2.2475,0.452,90
C118   , PART            , 0.1uF     ,2.4525,0.3475,90
C119   , PART            , 4.1pF     ,2.69,0.405,180
C120   , PART            , 4.1pF     ,2.69,0.455,0
C121   , PART            , 270pF     ,2.386,1.3475,90
C122   , PART            , 1uF     ,2.2175,1.3325,0
C123   , _0402MP            , 2.2uF     ,2.378,1.6925,90
C124   , _0402MP            , 2.2uF     ,2.3325,1.8089,0
C125   , PART            , 10pF     ,2.165,1.505,180
C126   , PART            , 10pF     ,2.16,1.625,0
C127   , PART            , 270pF     ,2.4125,1.3475,270
C128   , PART            , 6.8pF     ,2.325,1.295,90
C129   , PART            , 2.4pF     ,2.31,1.2475,0
C130   , _0603MP            , 10uF     ,2.235,1.4075,0
C131   , _0603MP            , 10uF     ,2.235,1.3675,0
C132   , PART            , 0.1uF     ,2.2275,1.3,0
C133   , PART            , 0.1uF     ,2.255,1.2475,180
C134   , _0402MP            , 0.47uF     ,2.46,1.755,90
C135   , PART            , 1uF     ,2.2228,1.5525,0
C136   , PART            , 100pF     ,2.2228,1.58,0
C137   , PART            , 0.1uF     ,2.345,1.3725,90
C138   , PART            , 1uF     ,2.465,1.6725,270
C139   , PART            , 0.1uF     ,2.58,1.5225,180
C140   , PART            , 10nF/6.3V(10%)     ,2.18,1.4523,270
C141   , PART            , 3.3nF/6.3V(10%)     ,2.2475,1.452,90
C142   , PART            , 0.1uF     ,2.4525,1.3475,90
C143   , PART            , 4.1pF     ,2.69,1.405,180
C144   , PART            , 4.1pF     ,2.69,1.455,0
C145   , PART            , 270pF     ,3.336,0.3475,90
C146   , PART            , 1uF     ,3.1675,0.3325,0
C147   , _0402MP            , 2.2uF     ,3.328,0.6925,90
C148   , _0402MP            , 2.2uF     ,3.2825,0.8089,0
C149   , PART            , 10pF     ,3.115,0.505,180
C150   , PART            , 10pF     ,3.11,0.625,0
C151   , PART            , 270pF     ,3.3625,0.3475,270
C152   , PART            , 6.8pF     ,3.275,0.295,90
C153   , PART            , 2.4pF     ,3.26,0.2475,0
C154   , _0603MP            , 10uF     ,3.185,0.4075,0
C155   , _0603MP            , 10uF     ,3.185,0.3675,0
C156   , PART            , 0.1uF     ,3.1775,0.3,0
C157   , PART            , 0.1uF     ,3.205,0.2475,180
C158   , _0402MP            , 0.47uF     ,3.41,0.755,90
C159   , PART            , 1uF     ,3.1728,0.5525,0
C160   , PART            , 100pF     ,3.1728,0.58,0
C161   , PART            , 0.1uF     ,3.295,0.3725,90
C162   , PART            , 1uF     ,3.415,0.6725,270
C163   , PART            , 0.1uF     ,3.53,0.5225,180
C164   , PART            , 10nF/6.3V(10%)     ,3.13,0.4522,270
