"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";
"2";"";"FERRITE_0603MP";"_0603MP";"FB1, FB2";"Ferrite Bead";"BLM18RK102SN1D";
"5";"0.1uF";"CAPACITOR_0201";"PART";"C4, C22, C25, C28, C29";"";"GRM033C80J104KE84D";
"1";"0.47uF";"CAP_CERAMIC_0402MP";"_0402MP";"C14";"Ceramic Capacitors";"GRM155R60J474KE19D";
"1";"0479480001";"0479480001";"0479480001";"ANT1";"Molex 2.4GHz SMD tower antenna.";"0479480001";
"1";"1.6nH";"INDUCTOR_FIXED_0201";"PART";"L2";"";"LQP03HQ1N6B02D";
"1";"10K";"RESISTOR_0201";"PART";"R2";"";"RC0201JR-0710KL";
"1";"10uF";"CAP_CERAMIC_0603MP";"_0603MP";"C5";"Ceramic Capacitors";"GRM188R61C106KAALD";
"1";"1X2_ROUND";"1X2_ROUND";"1X2_ROUND";"U$1";"";"";
"5";"1X3_ROUND";"1X3_ROUND";"1X3_ROUND";"PIN_EN, PIN_GPIO_A, PIN_GPIO_B, PIN_PWR, PIN_UART";"";"";
"1";"1X4_ROUND";"1X4_ROUND";"1X4_ROUND";"U$39";"";"";
"1";"1uF";"CAPACITOR_0201";"PART";"C18";"";"CL03A105KQ3CSNH";
"2";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"C2, C3";"Ceramic Capacitors";"C1005X5R0J225K050BC";
"1";"2.4pF";"CAPACITOR_0201";"PART";"C9";"";"GRM0335C1H2R4CA01D";
"3";"270";"RESISTOR_0201";"PART";"R3, R4, R5";"";"RC0201FR-07270RL";
"2";"4.1pF";"CAPACITOR_0201";"PART";"C23, C24";"";"GRM0335C1H4R1BA01D";
"1";"4.7K";"RESISTOR_0201";"PART";"R7";"";"RC0201FR-074K7L";
"1";"6.8pF";"CAPACITOR_0201";"PART";"C8";"";"GRM0335C2A6R8DA01D";
"1";"ABS06-107-32.768KHZ-T";"ABS06-107-32.768KHZ-T";"ABS06-107-32.768KHZ-T";"XTAL2";"ABS06-107-32.768kHz-T Crystal Oscillator";"ABS06-107-32.768kHz-T";
"1";"DNP";"RESISTOR_0201";"PART";"R6";"";"";
"1";"DNP";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SJ_FSYNC";"SMD Solder JUMPER";"";
"1";"DWM100";"DWM100";"DWM100_MOD";"LPS1";"";"DWM1000";
"1";"ESP32-PICO-D4";"ESP32-PICO-D4";"ESP32-QFN48_7X7";"IC1";"";"ESP32-PICO-D4";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"FID1, FID2, FID3, FID4, FID5, FID6";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"1";"ICM-20948";"ICM-20948";"QFN24_3X3";"IMU1";"";"ICM-20948";
"1";"LRTB_R48G";"LRTB_R48G";"LRTB_R48G";"RGB1";"OSRAM RGB LED";"LRTB R48G";
"1";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"LDO1";"Microchip LDO "MCP1700" in a 3-Pin SOT-23 package.";"MCP1700T-3302E/TT";
"1";"MS5611-01BA03";"MS5611-01BA03";"MS5611-01BA03";"ALT1";"";"MS561101BA03-50";
"1";"TACTILE_SWITCH_NO_GND_NO_BOSS";"TACTILE_SWITCH_NO_GND_NO_BOSS";"SIDE_ACT_NO_GND_NO_BOSS";"BOOT1";"Omron tactile switch";"B3U-3000P";
