Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 100),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 100) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
2,BLM18RK102SN1D,Murata,BLM18RK102SN1D,https://octopart.com/blm18rk102sn1d-murata-755186,"FB1, FB2",FERRITE_0603MP,Ferrite Bead,200,490-5228-1-ND,BLM18RK102SN1D,73M9117,Cut Tape,,Cut Tape,0.047,0.038,0.038,465161,54056,0,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0b6c6b0&sid=459&ppid=755186&vpid=34232830&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a8d1dd&sid=2401&ppid=755186&vpid=37643954&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=0c13636&sid=2402&ppid=755186&vpid=11748853&ct=offers,LCSC,C88986,,0.0139,0.0278,2.78,6050,50,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03c3548&sid=27971&ppid=755186&vpid=445986621&ct=offers,
1,931,Keystone,931,https://octopart.com/931-keystone-7166852,CN1,USB_TYPEA,USB - Type A Connectors,100,36-931-ND,931,22M3566,Bulk,,,0.66,0.667,0.75,9287,1317,0,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=00d82fe&sid=459&ppid=7166852&vpid=212433905&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0b1f6d2&sid=2401&ppid=7166852&vpid=37677977&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=024d4d4&sid=2402&ppid=7166852&vpid=30066808&ct=offers,TME,KEYS931,,0.5753,0.5753,57.53,463,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0fe3880&sid=1532&ppid=7166852&vpid=275881722&ct=offers,
7,GRM033C80J104KE84D,Murata,GRM033C80J104KE84D,https://octopart.com/grm033c80j104ke84d-murata-46692001,"C1, C2, C8, C9, C10, C16, C17",CAPACITOR_0201,,700,490-9980-1-ND,GRM033C80J104KE84D,,Cut Tape,,,0.00932,0.014,,253,0,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0c110a6&sid=459&ppid=46692001&vpid=172161497&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=00792ca&sid=2401&ppid=46692001&vpid=168801366&ct=offers,,Arrow,GRM033C80J104KE84D**MULT,,0.0069,0.048299999999999996,4.83,14500,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0649b1e&sid=1106&ppid=46692001&vpid=418461862&ct=offers,
1,C0603X5R0J474K030BC,TDK,C0603X5R0J474K030BC,https://octopart.com/c0603x5r0j474k030bc-tdk-28166569,C7,CAPACITOR_0201,,100,445-13653-1-ND,C0603X5R0J474K030BC,78Y9870,Cut Tape,,Cut Tape,0.0808,0.068,0.068,416854,76671,3180,1,,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01d13a8&sid=459&ppid=28166569&vpid=73758465&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03e6f12&sid=2401&ppid=28166569&vpid=119383691&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0412e5f&sid=2402&ppid=28166569&vpid=254400211&ct=offers,Chip One Stop Japan,C1S741000789620,Cut Tape,0.0262,0.0262,2.62,9926,50,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0553124&sid=13512&ppid=28166569&vpid=280220636&ct=offers,
1,51T4020,Molex,47948-0001,https://octopart.com/47948-0001-molex-20326346,U$6,479480001,,100,,47948-0001,51T4020,,,Cut Tape,,1.18,0.819,,5669,0,,,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=015cfb3&sid=2401&ppid=20326346&vpid=40439801&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=0fd9607&sid=2402&ppid=20326346&vpid=39289628&ct=offers,Newark,51T4020,Cut Tape,0.819,0.819,81.89999999999999,0,1,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=0fd9607&sid=2402&ppid=20326346&vpid=39289628&ct=offers,
1,GRM1555C1H1R2BA01D,Murata,GRM1555C1H1R2BA01D,https://octopart.com/grm1555c1h1r2ba01d-murata-18814399,C11,CAP_CERAMIC_0402MP,Ceramic Capacitors,100,490-6209-1-ND,GRM1555C1H1R2BA01D,31Y1753,Cut Tape,,Cut Tape,0.0223,0.023,0.023,1910,101362,30286,1,,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a248b1&sid=459&ppid=18814399&vpid=64140393&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05aa25d&sid=2401&ppid=18814399&vpid=48438806&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e0f70d&sid=2402&ppid=18814399&vpid=181223477&ct=offers,LCSC,C76954,,0.0041,0.0041,0.41000000000000003,750,50,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0029ebc&sid=27971&ppid=18814399&vpid=445986886&ct=offers,
1,L-14C1N8SV4T,Johanson,L-14C1N8SV4T,https://octopart.com/l-14c1n8sv4t-johanson-12565139,L1,INDUCTOR_0603MP,Inductors,100,712-1426-1-ND,L-14C1N8SV4T,,Cut Tape,,,0.0411,0.035,,4289,15070,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a12440&sid=459&ppid=12565139&vpid=34271554&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=083d56f&sid=2401&ppid=12565139&vpid=225542995&ct=offers,,Mouser,L-14C1N8SV4T,,0.035,0.035,3.5000000000000004,15070,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=083d56f&sid=2401&ppid=12565139&vpid=225542995&ct=offers,
1,RC0402FR-0710KL,Yageo,RC0402FR-0710KL,https://octopart.com/rc0402fr-0710kl-yageo-55458461,R2,RESISTOR_0201,,100,311-10.0KLRCT-ND,RC0402FR-0710KL,98K7499,Cut Tape,,Cut Tape,0.0056,0.003,0.006,10142433,2551721,323566,1,,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0797307&sid=459&ppid=55458461&vpid=188128756&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02abcbe&sid=2401&ppid=55458461&vpid=187885208&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01bfdcc&sid=2402&ppid=55458461&vpid=230088746&ct=offers,LCSC,C60490,,0.0017,0.0017,0.16999999999999998,493200,100,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01f3ec6&sid=27971&ppid=55458461&vpid=445986246&ct=offers,
2,AMK105CBJ106MV-F,Taiyo Yuden,AMK105CBJ106MV-F,https://octopart.com/amk105cbj106mv-f-taiyo+yuden-24529245,"C21, C22",CAP_CERAMIC_0402MP,Ceramic Capacitors,200,587-3237-1-ND,AMK105CBJ106MV-F,29X9101,Cut Tape,,Cut Tape,0.1,0.104,0.104,346664,51023,20000,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0f04534&sid=459&ppid=24529245&vpid=55602492&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=076f65c&sid=2401&ppid=24529245&vpid=56155371&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=016b110&sid=2402&ppid=24529245&vpid=120989650&ct=offers,Chip One Stop Japan,C1S758100418570,Cut Tape,0.0623,0.1246,12.46,11700,50,https://octopart.com/click/track?country=US&ak=68b25f31&sig=041390a&sid=13512&ppid=24529245&vpid=280473776&ct=offers,
