##########################################################################
       Name: Placement Bill of Materials Generator

    Version: 4 (2-sided, top)
         By: Small Batch Assembly
        URL: www.smallbatchassembly.com
 SourceFile: femtoBeacon_dongle_r2.0.6_RGB_PANELIZED.brd
   DateTime: 1/3/18 4:35 AM
      Units: inches
##########################################################################
REF,PACKAGE,VALUE,X,Y,ROTATION,
ASWITCH   , AS222-92LF            , AS222-92LF     , 1.1500, 0.5100, 0.0
ASWITCH1   , AS222-92LF            , AS222-92LF     , 2.9100, 0.5100, 0.0
ASWITCH2   , AS222-92LF            , AS222-92LF     , 1.1500, 1.2700, 0.0
ASWITCH3   , AS222-92LF            , AS222-92LF     , 2.9100, 1.2700, 0.0
ASWITCH4   , AS222-92LF            , AS222-92LF     , 1.1500, 2.0300, 0.0
ASWITCH5   , AS222-92LF            , AS222-92LF     , 2.9100, 2.0300, 0.0
ASWITCH6   , AS222-92LF            , AS222-92LF     , 1.1500, 2.7900, 0.0
ASWITCH7   , AS222-92LF            , AS222-92LF     , 2.9100, 2.7900, 0.0
ASWITCH8   , AS222-92LF            , AS222-92LF     , 1.1500, 3.5500, 0.0
ASWITCH9   , AS222-92LF            , AS222-92LF     , 2.9100, 3.5500, 0.0
BTN   , SPST_SMD            , DNP     , 0.4800, 0.2300, 0.0
BTN1   , SPST_SMD            , DNP     , 2.2400, 0.2300, 0.0
BTN2   , SPST_SMD            , DNP     , 0.4800, 0.9900, 0.0
BTN3   , SPST_SMD            , DNP     , 2.2400, 0.9900, 0.0
BTN4   , SPST_SMD            , DNP     , 0.4800, 1.7500, 0.0
BTN5   , SPST_SMD            , DNP     , 2.2400, 1.7500, 0.0
BTN6   , SPST_SMD            , DNP     , 0.4800, 2.5100, 0.0
BTN7   , SPST_SMD            , DNP     , 2.2400, 2.5100, 0.0
BTN8   , SPST_SMD            , DNP     , 0.4800, 3.2700, 0.0
BTN9   , SPST_SMD            , DNP     , 2.2400, 3.2700, 0.0
C1   , PART            , 0.1uF     , 0.5100, 0.2700, 0.0
C2   , PART            , 0.1uF     , 0.7700, 0.6900, 180.0
C3   , PART            , 0.1uF     , 2.2700, 0.2700, 0.0
C4   , PART            , 0.1uF     , 2.4600, 0.6500, 180.0
C5   , _0402MP            , 2.2uF     , 0.7100, 0.8300, 180.0
C6   , _0402MP            , 2.2uF     , 0.7100, 0.7400, 0.0
C7   , PART            , 0.47uF     , 0.7000, 0.7000, 0.0
C8   , PART            , 0.1uF     , 0.9000, 0.2800, 90.0
C9   , PART            , 0.1uF     , 0.6500, 0.5200, 90.0
C10   , PART            , 0.1uF     , 0.7000, 0.6500, 180.0
C11   , _0402MP            , 1.2pF     , 1.2300, 0.6000, 180.0
C12   , PART            , DNP     , 2.8700, 0.6600, 180.0
C13   , PART            , DNP     , 1.1100, 0.6600, 180.0
C14   , PART            , 9pF     , 0.7200, 0.2500, 270.0
C15   , PART            , 9pF     , 0.7200, 0.3100, 270.0
C16   , PART            , 0.1uF     , 0.6500, 0.4600, 270.0
C17   , PART            , 0.1uF     , 0.8300, 0.3500, 0.0
C18   , PART            , 22pF     , 1.1500, 0.5900, 270.0
C19   , PART            , 22pF     , 1.1800, 0.5900, 270.0
C20   , PART            , 22pF     , 1.1200, 0.5900, 90.0
C21   , _0402MP            , 10uF     , 0.5300, 0.7700, 270.0
C22   , _0402MP            , 10uF     , 0.8600, 0.2800, 270.0
C23   , PART            , 22pF     , 1.1760, 0.3980, 90.0
C24   , PART            , 22pF     , 1.2400, 0.5400, 90.0
C25   , PART            , 9pF     , 2.4800, 0.2500, 270.0
C26   , PART            , 9pF     , 2.4800, 0.3100, 270.0
C27   , PART            , 0.1uF     , 2.4100, 0.4600, 270.0
C28   , PART            , 0.1uF     , 2.5900, 0.3500, 0.0
C29   , PART            , 0.1uF     , 2.5300, 0.6900, 180.0
C30   , _0402MP            , 10uF     , 2.2900, 0.7700, 270.0
C31   , _0402MP            , 10uF     , 2.6200, 0.2800, 270.0
