Qty,Line Item,Manufacturer,MfrId,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 100),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 100) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,Arrow,Digi-Key,Mouser,Arrow,Digi-Key,Mouser,Arrow,Digi-Key,Mouser,Arrow,Digi-Key,Mouser,Arrow,Digi-Key,Mouser,Arrow,Digi-Key,Mouser,,,,,,,,,,
1,734120110,Molex,734120110,https://octopart.com/0734120110-molex-16756629,UFLANT,U.FL,U.FL Antenna Connector,100,0734120110**MULT1,WM5587CT-ND,,Cut Tape,Cut Tape,,0.4409,0.5273,,12207,45652,,1,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0eaa65f&sid=1106&ppid=16756629&vpid=419940084&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0087aaa&sid=459&ppid=16756629&vpid=114393459&ct=offers,,Arrow,0734120110**MULT1,Cut Tape,0.4409,0.4409,44.09,12207,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0eaa65f&sid=1106&ppid=16756629&vpid=419940084&ct=offers,
1,BLM18RK102SN1D,Murata,BLM18RK102SN1D,https://octopart.com/blm18rk102sn1d-murata-755186,FB1,_0603MP,Ferrite Bead,100,BLM18RK102SN1D**MULT1,490-5228-1-ND,BLM18RK102SN1D,Cut Tape,Cut Tape,,0.0396,0.047,0.038,6636,511081,68837,1,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e5bd2f&sid=1106&ppid=755186&vpid=21342119&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0b6c6b0&sid=459&ppid=755186&vpid=34232830&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a8d1dd&sid=2401&ppid=755186&vpid=37643954&ct=offers,Mouser,BLM18RK102SN1D,,0.038,0.038,3.8,68837,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a8d1dd&sid=2401&ppid=755186&vpid=37643954&ct=offers,
10,CL03A104KA3NNNC,Samsung,CL03A104KA3NNNC,https://octopart.com/cl03a104ka3nnnc-samsung-22618085,"C1, C2, C8, C9, C10, C16, C17, C29, C30, C32",PART,,1000,CL03A104KA3NNNC**MULT1,1276-1318-1-ND,,Cut Tape,Cut Tape,,0.0692,0.08085,,165,0,,1,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=07e606b&sid=1106&ppid=22618085&vpid=418629560&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08d367e&sid=459&ppid=22618085&vpid=72521892&ct=offers,,Arrow,CL03A104KA3NNNC**MULT1,Cut Tape,0.0692,0.692,69.2,165,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=07e606b&sid=1106&ppid=22618085&vpid=418629560&ct=offers,
1,C0603X5R0J474K030BC,TDK,C0603X5R0J474K030BC,https://octopart.com/c0603x5r0j474k030bc-tdk-28166569,C7,PART,,100,,445-13653-1-ND,C0603X5R0J474K030BC,,Cut Tape,,,0.0808,0.068,,188931,81211,,1,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01d13a8&sid=459&ppid=28166569&vpid=73758465&ct=offers,https://octopart.com/click/track?url=https%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DaqbUsE2flXirT%25252beoiuwTrw%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DC0603X5R0J474K030BC%26utm_term%3DC0603X5R0J474K030BC%26utm_content%3DTDK&country=US&ak=68b25f31&sig=0e241f2&sid=2401&ppid=28166569&ct=offers,Mouser,C0603X5R0J474K030BC,,0.068,0.068,6.8,81211,1,https://octopart.com/click/track?url=https%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DaqbUsE2flXirT%25252beoiuwTrw%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DC0603X5R0J474K030BC%26utm_term%3DC0603X5R0J474K030BC%26utm_content%3DTDK&country=US&ak=68b25f31&sig=0e241f2&sid=2401&ppid=28166569&ct=offers,
1,479480001,Molex,47948-0001,https://octopart.com/47948-0001-molex-20326346,ANT_SMD,479480001,,100,,,47948-0001,,,,,,1.18,,,6706,,,,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=015cfb3&sid=2401&ppid=20326346&vpid=40439801&ct=offers,Mouser,47948-0001,,1.18,1.18,118,6706,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=015cfb3&sid=2401&ppid=20326346&vpid=40439801&ct=offers,
1,GRM1555C1H1R2BA01D,Murata,GRM1555C1H1R2BA01D,https://octopart.com/grm1555c1h1r2ba01d-murata-18814399,C11,_0402MP,Ceramic Capacitors,100,GRM1555C1H1R2BA01D**MULT,490-6209-1-ND,GRM1555C1H1R2BA01D,,Cut Tape,,0.014,0.0223,0.023,6993,268029,104260,1,1,1,https://octopart.com/click/track?url=https%3A%2F%2Fwww.arrow.com%2Fen%2Fproducts%2Fgrm1555c1h1r2ba01d%2Fmurata-manufacturing&country=US&ak=68b25f31&sig=0617284&sid=1106&ppid=18814399&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a248b1&sid=459&ppid=18814399&vpid=64140393&ct=offers,https://octopart.com/click/track?url=https%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DouTquLLW2S5bb9KmTQi2Tw%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DGRM1555C1H1R2BA01D%26utm_term%3DGRM1555C1H1R2BA01D%26utm_content%3DMurata+Electronics&country=US&ak=68b25f31&sig=0baae8c&sid=2401&ppid=18814399&ct=offers,Arrow,GRM1555C1H1R2BA01D**MULT,,0.014,0.014,1.4,6993,1,https://octopart.com/click/track?url=https%3A%2F%2Fwww.arrow.com%2Fen%2Fproducts%2Fgrm1555c1h1r2ba01d%2Fmurata-manufacturing&country=US&ak=68b25f31&sig=0617284&sid=1106&ppid=18814399&ct=offers,
1,L-14C1N8SV4T,Johanson,L-14C1N8SV4T,https://octopart.com/l-14c1n8sv4t-johanson-12565139,L1,_0603MP,Inductors,100,,712-1426-1-ND,L-14C1N8SV4T,,Cut Tape,,,0.0411,0.035,,6269,15075,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a12440&sid=459&ppid=12565139&vpid=34271554&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=083d56f&sid=2401&ppid=12565139&vpid=225542995&ct=offers,Mouser,L-14C1N8SV4T,,0.035,0.035,3.5,15075,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=083d56f&sid=2401&ppid=12565139&vpid=225542995&ct=offers,
1,RC0402FR-0710KL,Yageo,RC0402FR-0710KL,https://octopart.com/rc0402fr-0710kl-yageo-55458461,R2,PART,,100,RC0402FR-0710KL**MULT1,311-10.0KLRCT-ND,RC0402FR-0710KL,Cut Tape,Cut Tape,,0.0047,0.0056,0.003,11881,1493202,1800108,1,1,1,https://octopart.com/click/track?url=https%3A%2F%2Fwww.arrow.com%2Fen%2Fproducts%2Frc0402fr-0710kl%2Fyageo&country=US&ak=68b25f31&sig=071a350&sid=1106&ppid=55458461&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0797307&sid=459&ppid=55458461&vpid=188128756&ct=offers,https://octopart.com/click/track?url=https%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DI1mnnYJTTsxUoNwrUsQExA%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DRC0402FR-0710KL%26utm_term%3DRC0402FR-0710KL%26utm_content%3DYageo&country=US&ak=68b25f31&sig=015534b&sid=2401&ppid=55458461&ct=offers,Mouser,RC0402FR-0710KL,,0.003,0.003,0.3,1800108,1,https://octopart.com/click/track?url=https%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DI1mnnYJTTsxUoNwrUsQExA%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DRC0402FR-0710KL%26utm_term%3DRC0402FR-0710KL%26utm_content%3DYageo&country=US&ak=68b25f31&sig=015534b&sid=2401&ppid=55458461&ct=offers,
1,GRM033R71A103KA01D,Murata,GRM033R71A103KA01D,https://octopart.com/grm033r71a103ka01d-murata-196814,C31,PART,,100,GRM033R71A103KA01D**MULT,490-3194-1-ND,GRM033R71A103KA01D,,Cut Tape,,0.0082,0.0099,0.014,5769,8601506,843785,1,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02450df&sid=1106&ppid=196814&vpid=37569859&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a33777&sid=459&ppid=196814&vpid=1958665&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=045be76&sid=2401&ppid=196814&vpid=37684068&ct=offers,Arrow,GRM033R71A103KA01D**MULT,,0.0082,0.0082,0.82,5769,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02450df&sid=1106&ppid=196814&vpid=37569859&ct=offers,
