"Designator","Footprint","X","Y","Rotation","Value"
"ASWITCH","AS222-92LF","39.12","11.68","  0","AS222-92LF"
"ASWITCH1","AS222-92LF","39.12","37.08","  0","AS222-92LF"
"ASWITCH2","AS222-92LF","39.12","62.48","  0","AS222-92LF"
"ASWITCH3","AS222-92LF","84.84","11.68","  0","AS222-92LF"
"ASWITCH4","AS222-92LF","84.84","37.08","  0","AS222-92LF"
"ASWITCH5","AS222-92LF","84.84","62.48","  0","AS222-92LF"
"BALUN","0805_BALUN","34.80","12.45","270","JOHANSON_2450BM15A0015E"
"BALUN1","0805_BALUN","34.80","37.85","270","JOHANSON_2450BM15A0015E"
"BALUN2","0805_BALUN","34.80","63.25","270","JOHANSON_2450BM15A0015E"
"BALUN3","0805_BALUN","80.52","12.45","270","JOHANSON_2450BM15A0015E"
"BALUN4","0805_BALUN","80.52","37.85","270","JOHANSON_2450BM15A0015E"
"BALUN5","0805_BALUN","80.52","63.25","270","JOHANSON_2450BM15A0015E"
"BARO","MS5611-01BA03","31.11"," 5.58","  0","MS5611-01BA03"
"BARO1","MS5611-01BA03","31.11","30.98","  0","MS5611-01BA03"
"BARO2","MS5611-01BA03","31.11","56.38","  0","MS5611-01BA03"
"BARO3","MS5611-01BA03","76.83"," 5.58","  0","MS5611-01BA03"
"BARO4","MS5611-01BA03","76.83","30.98","  0","MS5611-01BA03"
"BARO5","MS5611-01BA03","76.83","56.38","  0","MS5611-01BA03"
"BTN_RESET","SPST_SMD"," 8.26"," 4.39","270","DNP"
"BTN_RESET1","SPST_SMD"," 8.26","29.79","270","DNP"
"BTN_RESET2","SPST_SMD"," 8.26","55.19","270","DNP"
"BTN_RESET3","SPST_SMD","53.98"," 4.39","270","DNP"
"BTN_RESET4","SPST_SMD","53.98","29.79","270","DNP"
"BTN_RESET5","SPST_SMD","53.98","55.19","270","DNP"
"C1","_0402MP","14.22"," 5.33","  0","0.1uF"
"C2","_0402MP","38.10","13.59","  0","22pF, C0G, 5%"
"C3","_0402MP","24.00","16.76"," 90","10pF"
"C4","_0402MP","24.00","14.99"," 90","10pF"
"C5","_0402MP","13.46","14.48","180","2.2uF"
"C6","_0402MP","17.27","15.49","180","2.2uF"
"C7","_0402MP","17.27","13.46","180","0.47uF"
"C8","_0402MP","39.88","13.84"," 90","22pF, C0G, 5%"
"C9","_0402MP","38.48"," 8.76","  0","22pF, C0G, 5%"
"C10","_0402MP","19.30","13.46","180","0.1uF"
"C11","_0402MP","38.48"," 6.35","  0","22pF, C0G, 5%"
"C12","_0402MP","41.66","10.03","180","22pF, C0G, 5%"
"C13","_0402MP","40.39","15.75","270","DNP"
"C14","_0402MP","16.26"," 5.33","  0","9pF"
"C15","_0402MP","18.29"," 5.33","  0","9pF"
"C16","_0402MP","24.38"," 5.33","  0","0.1uF"
"C17","_0402MP","40.89","11.30"," 90","1.2pF"
"C18","_0402MP","14.22","30.73","  0","0.1uF"
"C19","_0402MP","13.46","39.88","180","2.2uF"
"C20","_0402MP","17.27","40.89","180","2.2uF"
"C21","_0402MP","22.48"," 5.33","  0","10uF"
"C22","_0402MP","28.58","16.13","270","10uF"
"C23","_0402MP","17.27","38.86","180","0.47uF"
"C24","_0402MP","28.96","29.58"," 90","0.1uF"
"C25","_0402MP","24.38","30.73","  0","0.1uF"
"C26","_0402MP","22.48","30.73","  0","10uF"
"C27","_0402MP","28.58","41.53","270","10uF"
"C28","_0402MP","19.30","38.86","180","0.1uF"
"C29","_0402MP","28.96"," 4.18"," 90","0.1uF"
"C30","_0402MP","19.30"," 7.49","  0","0.1uF"
"C31","_0402MP","19.30"," 8.38","  0","10000pF"
"C32","_0402MP","14.73","10.92","180","0.1uF"
"C33","_0402MP","24.00","42.16"," 90","10pF"
"C34","_0402MP","24.00","40.39"," 90","10pF"
"C35","_0402MP","40.39","41.15","270","DNP"
"C36","_0402MP","16.26","30.73","  0","9pF"
"C37","_0402MP","18.29","30.73","  0","9pF"
"C38","_0402MP","19.30","33.78","  0","10000pF"
"C39","_0402MP","19.30","32.89","  0","0.1uF"
"C40","_0402MP","14.73","36.32","180","0.1uF"
"C41","_0402MP","38.10","38.99","  0","22pF, C0G, 5%"
"C42","_0402MP","39.88","39.24"," 90","22pF, C0G, 5%"
"C43","_0402MP","38.48","34.16","  0","22pF, C0G, 5%"
"C44","_0402MP","38.48","31.75","  0","22pF, C0G, 5%"
"C45","_0402MP","41.66","35.43","180","22pF, C0G, 5%"
"C46","_0402MP","40.89","36.70"," 90","1.2pF"
"C47","_0402MP","14.22","56.13","  0","0.1uF"
"C48","_0402MP","13.46","65.28","180","2.2uF"
"C49","_0402MP","17.27","66.29","180","2.2uF"
"C50","_0402MP","17.27","64.26","180","0.47uF"
"C51","_0402MP","28.96","54.98"," 90","0.1uF"
"C52","_0402MP","24.38","56.13","  0","0.1uF"
"C53","_0402MP","22.48","56.13","  0","10uF"
"C54","_0402MP","28.58","66.93","270","10uF"
"C55","_0402MP","19.30","64.26","180","0.1uF"
"C56","_0402MP","24.00","67.56"," 90","10pF"
"C57","_0402MP","24.00","65.79"," 90","10pF"
"C58","_0402MP","40.39","66.55","270","DNP"
"C59","_0402MP","16.26","56.13","  0","9pF"
"C60","_0402MP","18.29","56.13","  0","9pF"
"C61","_0402MP","19.30","59.18","  0","10000pF"
"C62","_0402MP","19.30","58.29","  0","0.1uF"
"C63","_0402MP","14.73","61.72","180","0.1uF"
"C64","_0402MP","38.10","64.39","  0","22pF, C0G, 5%"
"C65","_0402MP","39.88","64.64"," 90","22pF, C0G, 5%"
"C66","_0402MP","38.48","59.56","  0","22pF, C0G, 5%"
"C67","_0402MP","38.48","57.15","  0","22pF, C0G, 5%"
"C68","_0402MP","41.66","60.83","180","22pF, C0G, 5%"
"C69","_0402MP","40.89","62.10"," 90","1.2pF"
"C70","_0402MP","59.94"," 5.33","  0","0.1uF"
"C71","_0402MP","59.18","14.48","180","2.2uF"
"C72","_0402MP","62.99","15.49","180","2.2uF"
"C73","_0402MP","62.99","13.46","180","0.47uF"
"C74","_0402MP","74.68"," 4.18"," 90","0.1uF"
"C75","_0402MP","70.10"," 5.33","  0","0.1uF"
"C76","_0402MP","68.20"," 5.33","  0","10uF"
"C77","_0402MP","74.30","16.13","270","10uF"
"C78","_0402MP","65.02","13.46","180","0.1uF"
"C79","_0402MP","69.72","16.76"," 90","10pF"
"C80","_0402MP","69.72","14.99"," 90","10pF"
"C81","_0402MP","86.11","15.75","270","DNP"
"C82","_0402MP","61.98"," 5.33","  0","9pF"
"C83","_0402MP","64.01"," 5.33","  0","9pF"
"C84","_0402MP","65.02"," 8.38","  0","10000pF"
"C85","_0402MP","65.02"," 7.49","  0","0.1uF"
"C86","_0402MP","60.45","10.92","180","0.1uF"
"C87","_0402MP","83.82","13.59","  0","22pF, C0G, 5%"
"C88","_0402MP","85.60","13.84"," 90","22pF, C0G, 5%"
"C89","_0402MP","84.20"," 8.76","  0","22pF, C0G, 5%"
"C90","_0402MP","84.20"," 6.35","  0","22pF, C0G, 5%"
"C91","_0402MP","87.38","10.03","180","22pF, C0G, 5%"
"C92","_0402MP","86.61","11.30"," 90","1.2pF"
"C93","_0402MP","59.94","30.73","  0","0.1uF"
"C94","_0402MP","59.18","39.88","180","2.2uF"
"C95","_0402MP","62.99","40.89","180","2.2uF"
"C96","_0402MP","62.99","38.86","180","0.47uF"
"C97","_0402MP","74.68","29.58"," 90","0.1uF"
"C98","_0402MP","70.10","30.73","  0","0.1uF"
"C99","_0402MP","68.20","30.73","  0","10uF"
"C100","_0402MP","74.30","41.53","270","10uF"
"C101","_0402MP","65.02","38.86","180","0.1uF"
"C102","_0402MP","69.72","42.16"," 90","10pF"
"C103","_0402MP","69.72","40.39"," 90","10pF"
"C104","_0402MP","86.11","41.15","270","DNP"
"C105","_0402MP","61.98","30.73","  0","9pF"
"C106","_0402MP","64.01","30.73","  0","9pF"
"C107","_0402MP","65.02","33.78","  0","10000pF"
"C108","_0402MP","65.02","32.89","  0","0.1uF"
"C109","_0402MP","60.45","36.32","180","0.1uF"
"C110","_0402MP","83.82","38.99","  0","22pF, C0G, 5%"
"C111","_0402MP","85.60","39.24"," 90","22pF, C0G, 5%"
"C112","_0402MP","84.20","34.16","  0","22pF, C0G, 5%"
"C113","_0402MP","84.20","31.75","  0","22pF, C0G, 5%"
"C114","_0402MP","87.38","35.43","180","22pF, C0G, 5%"
"C115","_0402MP","86.61","36.70"," 90","1.2pF"
"C116","_0402MP","59.94","56.13","  0","0.1uF"
