"Designator","Footprint","X","Y","Rotation","Value"
"ANT1","ANT_BAR","31.24","10.92","270","PULSE_ANT_2.4GHZ"
"ANT2","ANT_BAR","31.24","30.23","270","PULSE_ANT_2.4GHZ"
"ANT3","ANT_BAR","31.24","49.53","270","PULSE_ANT_2.4GHZ"
"ANT4","ANT_BAR","31.24","68.83","270","PULSE_ANT_2.4GHZ"
"ANT5","ANT_BAR","31.24","88.14","270","PULSE_ANT_2.4GHZ"
"ANT6","ANT_BAR","71.88","10.92","270","PULSE_ANT_2.4GHZ"
"ANT7","ANT_BAR","71.88","30.23","270","PULSE_ANT_2.4GHZ"
"ANT8","ANT_BAR","71.88","49.53","270","PULSE_ANT_2.4GHZ"
"ANT9","ANT_BAR","71.88","68.83","270","PULSE_ANT_2.4GHZ"
"ANT10","ANT_BAR","71.88","88.14","270","PULSE_ANT_2.4GHZ"
"BTN","SPST_SMD","13.46"," 3.30","  0","DNP"
"BTN1","SPST_SMD","13.46","22.61","  0","DNP"
"BTN2","SPST_SMD","13.46","41.91","  0","DNP"
"BTN3","SPST_SMD","13.46","61.21","  0","DNP"
"BTN4","SPST_SMD","13.46","80.52","  0","DNP"
"BTN5","SPST_SMD","54.10"," 3.30","  0","DNP"
"BTN6","SPST_SMD","54.10","22.61","  0","DNP"
"BTN7","SPST_SMD","54.10","41.91","  0","DNP"
"BTN8","SPST_SMD","54.10","61.21","  0","DNP"
"BTN9","SPST_SMD","54.10","80.52","  0","DNP"
"C1","PART","14.22"," 4.32","  0","0.1uF"
"C2","PART","20.83","14.99","180","0.1uF"
"C3","PART","25.65","18.03"," 90","10pF"
"C4","PART","25.65","16.51"," 90","10pF"
"C5","_0402MP","19.30","18.54","180","2.2uF"
"C6","_0402MP","19.30","16.26","  0","2.2uF"
"C7","PART","19.05","15.24","  0","0.47uF"
"C8","PART","24.13"," 4.57"," 90","0.1uF"
"C9","PART","17.78","10.67"," 90","0.1uF"
"C10","PART","19.05","13.97","180","0.1uF"
"C11","PART","26.54","10.67","  0","22pF, C0G, 5%"
"C12","PART","26.42"," 9.65","  0","22pF, C0G, 5%"
"C13","PART","29.72","13.46","180","DNP"
"C14","PART","19.56"," 3.81","270","9pF"
"C15","PART","19.56"," 5.33","270","9pF"
"C16","PART","17.78"," 9.14","270","0.1uF"
"C17","PART","22.35"," 6.35","  0","0.1uF"
"C18","PART","14.22","23.62","  0","0.1uF"
"C19","PART","19.05","33.27","180","0.1uF"
"C20","PART","26.54","29.97","  0","22pF, C0G, 5%"
"C21","_0402MP","14.73","17.02","270","10uF"
"C22","_0402MP","23.11"," 4.57","270","10uF"
"C23","PART","26.42","28.96","  0","22pF, C0G, 5%"
"C24","PART","29.72","32.77","180","DNP"
"C25","PART","19.56","23.11","270","9pF"
