"Designator","Footprint","X","Y","Rotation","Value"
"ANT1","ANT_BAR"," 3.69","11.51"," 90","PULSE_ANT_2.4GHZ"
"ANT2","ANT_BAR","23.69","11.51"," 90","PULSE_ANT_2.4GHZ"
"ANT3","ANT_BAR","43.69","11.51"," 90","PULSE_ANT_2.4GHZ"
"ANT4","ANT_BAR","63.69","11.51"," 90","PULSE_ANT_2.4GHZ"
"ANT5","ANT_BAR","83.69","11.51"," 90","PULSE_ANT_2.4GHZ"
"ANT6","ANT_BAR","103.69","11.51"," 90","PULSE_ANT_2.4GHZ"
"ANT7","ANT_BAR","123.69","11.51"," 90","PULSE_ANT_2.4GHZ"
"ANT8","ANT_BAR","143.69","11.51"," 90","PULSE_ANT_2.4GHZ"
"ANT9","ANT_BAR"," 3.69","31.51"," 90","PULSE_ANT_2.4GHZ"
"ANT10","ANT_BAR","23.69","31.51"," 90","PULSE_ANT_2.4GHZ"
"ANT11","ANT_BAR","43.69","31.51"," 90","PULSE_ANT_2.4GHZ"
"ANT12","ANT_BAR","63.69","31.51"," 90","PULSE_ANT_2.4GHZ"
"ANT13","ANT_BAR","83.69","31.51"," 90","PULSE_ANT_2.4GHZ"
"ANT14","ANT_BAR","103.69","31.51"," 90","PULSE_ANT_2.4GHZ"
"ANT15","ANT_BAR","123.69","31.51"," 90","PULSE_ANT_2.4GHZ"
"ANT16","ANT_BAR","143.69","31.51"," 90","PULSE_ANT_2.4GHZ"
"ANT17","ANT_BAR"," 3.69","51.51"," 90","PULSE_ANT_2.4GHZ"
"ANT18","ANT_BAR","23.69","51.51"," 90","PULSE_ANT_2.4GHZ"
"ANT19","ANT_BAR","43.69","51.51"," 90","PULSE_ANT_2.4GHZ"
"ANT20","ANT_BAR","63.69","51.51"," 90","PULSE_ANT_2.4GHZ"
"ANT21","ANT_BAR","83.69","51.51"," 90","PULSE_ANT_2.4GHZ"
"ANT22","ANT_BAR","103.69","51.51"," 90","PULSE_ANT_2.4GHZ"
"ANT23","ANT_BAR","123.69","51.51"," 90","PULSE_ANT_2.4GHZ"
"ANT24","ANT_BAR","143.69","51.51"," 90","PULSE_ANT_2.4GHZ"
"ANT25","ANT_BAR"," 3.69","71.51"," 90","PULSE_ANT_2.4GHZ"
"ANT26","ANT_BAR","23.69","71.51"," 90","PULSE_ANT_2.4GHZ"
"ANT27","ANT_BAR","43.69","71.51"," 90","PULSE_ANT_2.4GHZ"
"ANT28","ANT_BAR","63.69","71.51"," 90","PULSE_ANT_2.4GHZ"
"ANT29","ANT_BAR","83.69","71.51"," 90","PULSE_ANT_2.4GHZ"
"ANT30","ANT_BAR","103.69","71.51"," 90","PULSE_ANT_2.4GHZ"
"ANT31","ANT_BAR","123.69","71.51"," 90","PULSE_ANT_2.4GHZ"
"ANT32","ANT_BAR","143.69","71.51"," 90","PULSE_ANT_2.4GHZ"
"ANT33","ANT_BAR"," 3.69","91.51"," 90","PULSE_ANT_2.4GHZ"
"ANT34","ANT_BAR","23.69","91.51"," 90","PULSE_ANT_2.4GHZ"
"ANT35","ANT_BAR","43.69","91.51"," 90","PULSE_ANT_2.4GHZ"
"ANT36","ANT_BAR","63.69","91.51"," 90","PULSE_ANT_2.4GHZ"
"ANT37","ANT_BAR","83.69","91.51"," 90","PULSE_ANT_2.4GHZ"
"ANT38","ANT_BAR","103.69","91.51"," 90","PULSE_ANT_2.4GHZ"
"ANT39","ANT_BAR","123.69","91.51"," 90","PULSE_ANT_2.4GHZ"
"ANT40","ANT_BAR","143.69","91.51"," 90","PULSE_ANT_2.4GHZ"
"BTN","SPST_SMD","16.79"," 6.20","270","DNP"
"BTN1","SPST_SMD","36.79"," 6.20","270","DNP"
"BTN2","SPST_SMD","56.79"," 6.20","270","DNP"
"BTN3","SPST_SMD","76.79"," 6.20","270","DNP"
"BTN4","SPST_SMD","96.79"," 6.20","270","DNP"
"BTN5","SPST_SMD","116.79"," 6.20","270","DNP"
"BTN6","SPST_SMD","136.79"," 6.20","270","DNP"
"BTN7","SPST_SMD","156.79"," 6.20","270","DNP"
"BTN8","SPST_SMD","16.79","26.20","270","DNP"
"BTN9","SPST_SMD","36.79","26.20","270","DNP"
"BTN10","SPST_SMD","56.79","26.20","270","DNP"
"BTN11","SPST_SMD","76.79","26.20","270","DNP"
"BTN12","SPST_SMD","96.79","26.20","270","DNP"
"BTN13","SPST_SMD","116.79","26.20","270","DNP"
"BTN14","SPST_SMD","136.79","26.20","270","DNP"
"BTN15","SPST_SMD","156.79","26.20","270","DNP"
"BTN16","SPST_SMD","16.79","46.20","270","DNP"
"BTN17","SPST_SMD","36.79","46.20","270","DNP"
"BTN18","SPST_SMD","56.79","46.20","270","DNP"
"BTN19","SPST_SMD","76.79","46.20","270","DNP"
"BTN20","SPST_SMD","96.79","46.20","270","DNP"
"BTN21","SPST_SMD","116.79","46.20","270","DNP"
"BTN22","SPST_SMD","136.79","46.20","270","DNP"
"BTN23","SPST_SMD","156.79","46.20","270","DNP"
"BTN24","SPST_SMD","16.79","66.20","270","DNP"
"BTN25","SPST_SMD","36.79","66.20","270","DNP"
"BTN26","SPST_SMD","56.79","66.20","270","DNP"
"BTN27","SPST_SMD","76.79","66.20","270","DNP"
"BTN28","SPST_SMD","96.79","66.20","270","DNP"
"BTN29","SPST_SMD","116.79","66.20","270","DNP"
"BTN30","SPST_SMD","136.79","66.20","270","DNP"
"BTN31","SPST_SMD","156.79","66.20","270","DNP"
"BTN32","SPST_SMD","16.79","86.20","270","DNP"
"BTN33","SPST_SMD","36.79","86.20","270","DNP"
"BTN34","SPST_SMD","56.79","86.20","270","DNP"
"BTN35","SPST_SMD","76.79","86.20","270","DNP"
"BTN36","SPST_SMD","96.79","86.20","270","DNP"
"BTN37","SPST_SMD","116.79","86.20","270","DNP"
"BTN38","SPST_SMD","136.79","86.20","270","DNP"
"BTN39","SPST_SMD","156.79","86.20","270","DNP"
"C1","PART","15.70"," 5.56","270","0.1uF"
"C2","PART","10.90"," 8.86","  0","0.1uF"
"C3","PART"," 5.87"," 8.33"," 45","10pF"
"C4","PART"," 6.96"," 9.35","225","10pF"
"C5","PART","13.67"," 5.59","180","2.2uF"
"C6","PART","10.82"," 6.37","180","2.2uF"
"C7","PART","10.82"," 4.85","180","0.47uF"
"C8","PART","14.99","16.51","180","0.1uF"
"C9","PART","14.05","14.91","  0","0.1uF"
"C10","PART"," 9.30"," 5.94","180","0.1uF"
"C11","PART"," 5.33","13.97","180","22pF, C0G, 5%"
"C12","PART"," 4.85"," 9.93"," 90","22pF, C0G, 5%"
"C13","PART"," 5.61"," 9.93"," 90","DNP"
"C14","PART"," 8.86","17.58","270","9pF"
"C15","PART","13.67","16.64","270","9pF"
"C16","PART","10.87"," 7.56","  0","0.1uF"
"C17","PART","14.73","15.65","180","0.1uF"
"C18","PART","35.70"," 5.56","270","0.1uF"
"C19","PART","30.90"," 8.86","  0","0.1uF"
"C20","PART","33.67"," 5.59","180","2.2uF"
"C21","_0402MP"," 6.30","17.50","180","10uF"
"C22","_0402MP"," 7.32","16.66","  0","10uF"
"C23","PART","30.82"," 6.37","180","2.2uF"
"C24","PART","30.82"," 4.85","180","0.47uF"
"C26","PART","34.99","16.51","180","0.1uF"
"C27","PART","34.05","14.91","  0","0.1uF"
"C28","PART","30.87"," 7.56","  0","0.1uF"
"C31","PART"," 9.07"," 4.93","  0","10nF"
"C33","PART","34.73","15.65","180","0.1uF"
"C34","_0402MP","26.30","17.50","180","10uF"
"C35","_0402MP","27.32","16.66","  0","10uF"
"C36","PART","29.30"," 5.94","180","0.1uF"
"C37","PART","25.87"," 8.33"," 45","10pF"
"C38","PART","26.96"," 9.35","225","10pF"
"C39","PART","25.33","13.97","180","22pF, C0G, 5%"
"C40","PART","24.85"," 9.93"," 90","22pF, C0G, 5%"
"C41","PART","25.61"," 9.93"," 90","DNP"
"C42","PART","28.86","17.58","270","9pF"
"C43","PART","33.67","16.64","270","9pF"
"C44","PART","29.07"," 4.93","  0","10nF"
"C47","PART","55.70"," 5.56","270","0.1uF"
"C48","PART","50.90"," 8.86","  0","0.1uF"
"C49","PART","53.67"," 5.59","180","2.2uF"
"C50","PART","50.82"," 6.37","180","2.2uF"
"C51","PART","50.82"," 4.85","180","0.47uF"
"C53","PART","54.99","16.51","180","0.1uF"
"C54","PART","54.05","14.91","  0","0.1uF"
"C55","PART","50.87"," 7.56","  0","0.1uF"
"C56","PART","54.73","15.65","180","0.1uF"
"C57","_0402MP","46.30","17.50","180","10uF"
"C58","_0402MP","47.32","16.66","  0","10uF"
"C59","PART","49.30"," 5.94","180","0.1uF"
"C60","PART","45.87"," 8.33"," 45","10pF"
"C61","PART","46.96"," 9.35","225","10pF"
"C62","PART","45.33","13.97","180","22pF, C0G, 5%"
"C63","PART","44.85"," 9.93"," 90","22pF, C0G, 5%"
"C64","PART","45.61"," 9.93"," 90","DNP"
"C65","PART","48.86","17.58","270","9pF"
"C66","PART","53.67","16.64","270","9pF"
