"Designator","Footprint","X","Y","Rotation","Value"
"BTN","SPST_SMD","12.19"," 5.84","  0","DNP"
"C1","PART","12.95"," 6.86","  0","0.1uF"
"C2","PART","19.56","17.53","180","0.1uF"
"C3","PART","24.38","20.57"," 90","10pF"
"C4","PART","24.38","19.05"," 90","10pF"
"C5","_0402MP","18.03","21.08","180","2.2uF"
"C6","_0402MP","18.03","18.80","  0","2.2uF"
"C7","PART","17.78","17.78","  0","0.47uF"
"C8","PART","22.86"," 7.11"," 90","0.1uF"
"C9","PART","16.51","13.21"," 90","0.1uF"
"C10","PART","17.78","16.51","180","0.1uF"
"C11","PART","25.27","13.21","  0","22pF, C0G, 5%"
"C12","PART","25.15","12.19","  0","22pF, C0G, 5%"
"C13","PART","28.45","16.00","180","DNP"
"C14","PART","18.29"," 6.35","270","9pF"
"C15","PART","18.29"," 7.87","270","9pF"
"C16","PART","16.51","11.68","270","0.1uF"
"C17","PART","21.08"," 8.89","  0","0.1uF"
"C21","_0402MP","13.46","19.56","270","10uF"
"C22","_0402MP","21.84"," 7.11","270","10uF"
"CN1","USB_A-SMT","12.19","13.46"," 90",""
"FB1","_0603MP","12.19","19.56"," 90",""
"FB2","_0603MP","15.49","17.53","  0",""
"FID1","FIDUCIAL_1MM"," 2.54"," 7.62","  0","FIDUCIAL"
"FID2","FIDUCIAL_1MM"," 2.54","20.32","  0","FIDUCIAL"
"FID3","FIDUCIAL_1MM","35.56","20.32","  0","FIDUCIAL"
"L6","_0603MP","20.57"," 7.11"," 90","10uH"
"LDO_VREG","MCP1700T-3302E/TT","16.00","19.81","270","MCP1700T-3302E/TT"
"LED","CHIPLED_0603_NOOUTLINE","25.40"," 6.10"," 90","BLUE"
"R1","PART","12.19"," 7.87","  0","330"
"R2","PART","12.95"," 8.89","  0","10K"
"R4","PART","25.65"," 7.11","  0","330"
"U$6","0479480001","30.61","13.45","  0","0479480001"
"U$12","0805_BALUN","27.43","12.95","270","JOHANSON_2450BM15A0015E"
"U$76","QFN32","20.57","12.95"," 90","ATSAMR21E18A-MUT"
"XOSC","TSX-3225","21.59","19.81","180","12MHz"
"XOSCRF","TSX-3225","15.75"," 7.11","  0","16MHz"
