"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"FERRITE_0603MP";"_0603MP";"FB1, FB2";"Ferrite Bead";"";
"1";"";"USB_TYPEA";"USB_A-SMT";"CN1";"USB - Type A Connectors";"";
"7";"0.1uF";"CAPACITOR_0201";"PART";"C1, C2, C8, C9, C10, C16, C17";"";"";
"1";"0.47uF";"CAPACITOR_0201";"PART";"C7";"";"";
"1";"0479480001";"0479480001";"0479480001";"U$6";"";"";
"1";"10K";"RESISTOR_0201";"PART";"R2";"";"";
"2";"10pF";"CAPACITOR_0201";"PART";"C3, C4";"";"";
"2";"10uF";"CAP_CERAMIC_0402MP";"_0402MP";"C21, C22";"Ceramic Capacitors";"";
"1";"10uH";"INDUCTOR_0603MP";"_0603MP";"L6";"Inductors";"";
"1";"12MHz";"TSX-3225";"TSX-3225";"XOSC";"";"";
"1";"16MHz";"TSX-3225";"TSX-3225";"XOSCRF";"";"";
"1";"1X5_ROUND";"1X5_ROUND";"1X5_ROUND";"U$1";"";"";
"2";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"C5, C6";"Ceramic Capacitors";"";
"2";"22pF, C0G, 5%";"CAPACITOR_0201";"PART";"C11, C12";"";"";
"2";"330";"RESISTOR_0201";"PART";"R1, R4";"";"";
"2";"9pF";"CAPACITOR_0201";"PART";"C14, C15";"";"";
"1";"ATSAMR21E18A-MUT";"ATSAMR21E18A-MUT";"QFN32";"U$76";"This is the ATMEL SAMR21E QFN-32. ATSAMR21E18A";"";
"1";"BLUE";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"LED";"";
"1";"DNP";"CAPACITOR_0201";"PART";"C13";"";"";
"1";"DNP";"SPST_SMD";"SPST_SMD";"BTN";"";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"FID1, FID2, FID3";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"1";"JOHANSON_2450BM15A0015E";"JOHANSON_2450BM15A0015E";"0805_BALUN";"U$12";"";"";
"1";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"LDO_VREG";"Microchip LDO "MCP1700" in a 3-Pin SOT-23 package.";"";
