"Designator","Footprint","X","Y","Rotation","Value"
"BTN","SPST_SMD","12.19"," 5.84","  0","DNP"
"BTN1","SPST_SMD","12.19","28.70","  0","DNP"
"BTN2","SPST_SMD","12.19","51.56","  0","DNP"
"BTN3","SPST_SMD","12.19","74.42","  0","DNP"
"C1","PART","12.95"," 6.86","  0","0.1uF"
"C2","PART","19.56","17.53","180","0.1uF"
"C3","PART","24.38","20.57"," 90","10pF"
"C4","PART","24.38","19.05"," 90","10pF"
"C5","_0402MP","18.03","21.08","180","2.2uF"
"C6","_0402MP","18.03","18.80","  0","2.2uF"
"C7","PART","17.78","17.78","  0","0.47uF"
"C8","PART","22.86"," 7.11"," 90","0.1uF"
"C9","PART","16.51","13.21"," 90","0.1uF"
"C10","PART","17.78","16.51","180","0.1uF"
"C11","PART","25.27","13.21","  0","22pF, C0G, 5%"
"C12","PART","25.15","12.19","  0","22pF, C0G, 5%"
"C13","PART","28.45","16.00","180","DNP"
"C14","PART","18.29"," 6.35","270","9pF"
"C15","PART","18.29"," 7.87","270","9pF"
"C16","PART","16.51","11.68","270","0.1uF"
"C17","PART","21.08"," 8.89","  0","0.1uF"
"C18","PART","12.95","29.72","  0","0.1uF"
"C19","PART","17.78","39.37","180","0.1uF"
"C20","PART","25.27","36.07","  0","22pF, C0G, 5%"
"C21","_0402MP","13.46","19.56","270","10uF"
"C22","_0402MP","21.84"," 7.11","270","10uF"
"C23","PART","25.15","35.05","  0","22pF, C0G, 5%"
"C24","PART","28.45","38.86","180","DNP"
"C25","PART","18.29","29.21","270","9pF"
"C26","PART","18.29","30.73","270","9pF"
"C27","PART","16.51","34.54","270","0.1uF"
"C28","PART","21.08","31.75","  0","0.1uF"
"C29","PART","19.56","40.39","180","0.1uF"
"C30","_0402MP","13.46","42.42","270","10uF"
"C31","_0402MP","21.84","29.97","270","10uF"
"C32","PART","24.38","43.43"," 90","10pF"
"C33","PART","24.38","41.91"," 90","10pF"
"C34","_0402MP","18.03","43.94","180","2.2uF"
"C35","_0402MP","18.03","41.66","  0","2.2uF"
"C36","PART","17.78","40.64","  0","0.47uF"
"C37","PART","22.86","29.97"," 90","0.1uF"
"C38","PART","16.51","36.07"," 90","0.1uF"
"C39","PART","12.95","52.58","  0","0.1uF"
"C40","PART","17.78","62.23","180","0.1uF"
"C41","PART","25.27","58.93","  0","22pF, C0G, 5%"
"C42","PART","25.15","57.91","  0","22pF, C0G, 5%"
"C43","PART","28.45","61.72","180","DNP"
"C44","PART","18.29","52.07","270","9pF"
"C45","PART","18.29","53.59","270","9pF"
"C46","PART","16.51","57.40","270","0.1uF"
"C47","PART","21.08","54.61","  0","0.1uF"
"C48","PART","19.56","63.25","180","0.1uF"
"C49","_0402MP","13.46","65.28","270","10uF"
"C50","_0402MP","21.84","52.83","270","10uF"
"C51","PART","24.38","66.29"," 90","10pF"
"C52","PART","24.38","64.77"," 90","10pF"
"C53","_0402MP","18.03","66.80","180","2.2uF"
"C54","_0402MP","18.03","64.52","  0","2.2uF"
"C55","PART","17.78","63.50","  0","0.47uF"
"C56","PART","22.86","52.83"," 90","0.1uF"
"C57","PART","16.51","58.93"," 90","0.1uF"
"C58","PART","12.95","75.44","  0","0.1uF"
"C59","PART","17.78","85.09","180","0.1uF"
"C60","PART","25.27","81.79","  0","22pF, C0G, 5%"
"C61","PART","25.15","80.77","  0","22pF, C0G, 5%"
"C62","PART","28.45","84.58","180","DNP"
"C63","PART","18.29","74.93","270","9pF"
"C64","PART","18.29","76.45","270","9pF"
"C65","PART","16.51","80.26","270","0.1uF"
"C66","PART","21.08","77.47","  0","0.1uF"
"C67","PART","19.56","86.11","180","0.1uF"
"C68","_0402MP","13.46","88.14","270","10uF"
"C69","_0402MP","21.84","75.69","270","10uF"
"C70","PART","24.38","89.15"," 90","10pF"
"C71","PART","24.38","87.63"," 90","10pF"
"C72","_0402MP","18.03","89.66","180","2.2uF"
"C73","_0402MP","18.03","87.38","  0","2.2uF"
"C74","PART","17.78","86.36","  0","0.47uF"
"C75","PART","22.86","75.69"," 90","0.1uF"
