"Designator","Footprint","X","Y","Rotation","Value"
"ASWITCH","AS222-92LF","39.12","11.68","  0","AS222-92LF"
"BALUN","0805_BALUN","34.80","12.45","270","JOHANSON_2450BM15A0015E"
"BARO","MS5611-01BA03","31.11"," 5.58","  0","MS5611-01BA03"
"BTN_RESET","SPST_SMD"," 8.26"," 4.39","270","DNP"
"C1","_0402MP","14.22"," 5.33","  0","0.1uF"
"C2","_0402MP","38.10","13.59","  0","22pF, C0G, 5%"
"C3","_0402MP","24.00","16.76"," 90","10pF"
"C4","_0402MP","24.00","14.99"," 90","10pF"
"C5","_0402MP","13.46","14.48","180","2.2uF"
"C6","_0402MP","17.27","15.49","180","2.2uF"
"C7","_0402MP","17.27","13.46","180","0.47uF"
"C8","_0402MP","39.88","13.84"," 90","22pF, C0G, 5%"
"C9","_0402MP","38.48"," 8.76","  0","22pF, C0G, 5%"
"C10","_0402MP","19.30","13.46","180","0.1uF"
"C11","_0402MP","38.48"," 6.35","  0","22pF, C0G, 5%"
"C12","_0402MP","41.66","10.03","180","22pF, C0G, 5%"
"C13","_0402MP","40.39","15.75","270","DNP"
"C14","_0402MP","16.26"," 5.33","  0","9pF"
"C15","_0402MP","18.29"," 5.33","  0","9pF"
"C16","_0402MP","24.38"," 5.33","  0","0.1uF"
"C17","_0402MP","40.89","11.30"," 90","1.2pF"
"C21","_0402MP","22.48"," 5.33","  0","10uF"
"C22","_0402MP","28.58","16.13","270","10uF"
"C29","_0402MP","28.96"," 4.18"," 90","0.1uF"
"C30","_0402MP","19.30"," 7.49","  0","0.1uF"
"C31","_0402MP","19.30"," 8.38","  0","10000pF"
"C32","_0402MP","14.73","10.92","180","0.1uF"
"C_ARR","CAPACITOR_ARRAY_1206_MONO_1X4","26.42","16.13","180","0.1uF"
"FB1","_0603MP","13.08"," 7.37"," 90",""
"FB2","_0603MP","13.59","12.32","  0",""
"FB3","_0603MP","30.48","16.51","  0",""
"FID1","FIDUCIAL_1MM"," 2.54"," 2.54","  0",""
"FID2","FIDUCIAL_1MM"," 2.54","17.78","  0",""
"FID3","FIDUCIAL_1MM","48.26","17.78","  0",""
"IC","QFN32","24.64"," 9.78","135","ATSAMR21E18A-MUT"
"IMU","QFN_3X3MM","18.29","11.18","270","MPU-9250"
"L1","_0603MP","41.78","13.34"," 90","1.8nH"
"L6","_0603MP","28.51"," 6.46"," 90","10uH"
"LDO_VREG","MCP1700T-3302E/TT","15.24","14.48","270","MCP1700T-3302E/TT"
"R1","_0402MP","10.16"," 5.33","  0","330"
"R2","_0402MP","12.19"," 5.33","  0","10K"
"R3","_0402MP","13.84","10.16","  0","330"
"R4","_0402MP","27.56"," 3.81","  0","330"
"R5","_0402MP","13.84"," 9.14","  0","100K"
"R6","_0402MP","25.65"," 3.81","  0","330"
"R7","_0402MP","23.75"," 3.68","  0","330"
"R8","_0402MP","30.48"," 8.76","180","2.2K"
"R9","_0402MP","30.48"," 9.78","180","2.2K"
"RGBLED","LRTB_R48G","26.54"," 4.95","  0","LRTB_R48G"
"U$12","0479480001","42.68","16.52"," 90","0479480001"
"UFLANT","U.FL","40.39"," 7.37","180",""
"USB","USB_MICROB_PACKAGE","10.17","10.87","270","USB_MICROB"
"XTAL_BOARD","FA-128","21.59","16.00","180","32MHz"
"XTAL_RF","TSX-3225","15.88"," 7.24","  0","16MHz"
