"Qty","Value","Device","Package","Parts","Description","DIGIKEY_PART"
"2",,"FERRITE_0603MP","_0603MP","FB1, FB2","Ferrite Bead","490-5228-1-ND"
"1",,"USB_TYPEA","USB_A-SMT","CN1","USB - Type A Connectors","36-931-ND"
"7","0.1uF","CAPACITOR_0201","PART","C1, C2, C8, C9, C10, C16, C17",,"490-9980-1-ND"
"1","0.47uF","CAPACITOR_0201","PART","C7",,"445-13653-1-ND"
"1","10K","RESISTOR_0201","PART","R2",,"541-10.0KABCT-ND"
"2","10pF","CAPACITOR_0201","PART","C3, C4",,"490-8607-1-ND"
"2","10uF","CAP_CERAMIC_0402MP","_0402MP","C21, C22","Ceramic Capacitors","587-3237-1-ND"
"1","10uH","INDUCTOR_0603MP","_0603MP","L6","Inductors","490-4025-1-ND"
"1","12MHz","TSX-3225","TSX-3225","XOSC",,"SER3682CT-ND"
"1","16MHz","TSX-3225","TSX-3225","XOSCRF",,"SER4096CT-ND"
"2","2.2uF","CAP_CERAMIC_0402MP","_0402MP","C5, C6","Ceramic Capacitors","445-7392-1-ND"
"2","22pF, C0G, 5%","CAPACITOR_0201","PART","C11, C12",,"490-1253-1-ND"
"2","330","RESISTOR_0201","PART","R1, R4",,"541-330AGCT-ND"
"2","9pF","CAPACITOR_0201","PART","C14, C15",,"445-4894-1-ND"
"1","ATSAMR21E18A-MUT","ATSAMR21E18A-MUT","QFN32","U$76","This is the ATMEL SAMR21E QFN-32. ATSAMR21E18A","ATSAMR21E18A-MUTCT-ND"
"1","BLUE","LED0603_NOOUTLINE","CHIPLED_0603_NOOUTLINE","LED","LED","350-2037-1-ND"
"1","JOHANSON_2450BM15A0015E","JOHANSON_2450BM15A0015E","0805_BALUN","U$12",,"712-1576-1-ND"
"1","MCP1700T-3302E/TT","MCP1700T-3302E/TT","MCP1700T-3302E/TT","LDO_VREG","Microchip LDO ""MCP1700"" in a 3-Pin SOT-23 package.","MCP1700T3302ETTCT-ND"
"1","PULSE_ANT_2.4GHZ","PULSE_ANT_2.4GHZ","ANT_BAR","ANT1","Manufacturer part #W3008","553-1530-1-ND"
