"Designator","Footprint","X","Y","Rotation","Value"
"BARO","MS5611-01BA03","15.79","-9.01","360","MS5611-01BA03"
"BARO1","MS5611-01BA03","15.79","-29.55","360","MS5611-01BA03"
"BARO2","MS5611-01BA03","15.79","-50.09","360","MS5611-01BA03"
"BARO3","MS5611-01BA03","15.79","-70.63","360","MS5611-01BA03"
"BARO4","MS5611-01BA03","15.79","-91.17","360","MS5611-01BA03"
"BARO5","MS5611-01BA03","36.33","-9.01","360","MS5611-01BA03"
"BARO6","MS5611-01BA03","36.33","-29.55","360","MS5611-01BA03"
"BARO7","MS5611-01BA03","36.33","-50.09","360","MS5611-01BA03"
"BARO8","MS5611-01BA03","36.33","-70.63","360","MS5611-01BA03"
"BARO9","MS5611-01BA03","36.33","-91.17","360","MS5611-01BA03"
"BARO10","MS5611-01BA03","56.87","-9.01","360","MS5611-01BA03"
"BARO11","MS5611-01BA03","56.87","-29.55","360","MS5611-01BA03"
"BARO12","MS5611-01BA03","56.87","-50.09","360","MS5611-01BA03"
"BARO13","MS5611-01BA03","56.87","-70.63","360","MS5611-01BA03"
"BARO14","MS5611-01BA03","56.87","-91.17","360","MS5611-01BA03"
"BARO15","MS5611-01BA03","77.41","-9.01","360","MS5611-01BA03"
"BARO16","MS5611-01BA03","77.41","-29.55","360","MS5611-01BA03"
"BARO17","MS5611-01BA03","77.41","-50.09","360","MS5611-01BA03"
"BARO18","MS5611-01BA03","77.41","-70.63","360","MS5611-01BA03"
"BARO19","MS5611-01BA03","77.41","-91.17","360","MS5611-01BA03"
"BARO20","MS5611-01BA03","97.95","-9.01","360","MS5611-01BA03"
"BARO21","MS5611-01BA03","97.95","-29.55","360","MS5611-01BA03"
"BARO22","MS5611-01BA03","97.95","-50.09","360","MS5611-01BA03"
"BARO23","MS5611-01BA03","97.95","-70.63","360","MS5611-01BA03"
"BARO24","MS5611-01BA03","97.95","-91.17","360","MS5611-01BA03"
"BARO25","MS5611-01BA03","118.49","-9.01","360","MS5611-01BA03"
"BARO26","MS5611-01BA03","118.49","-29.55","360","MS5611-01BA03"
"BARO27","MS5611-01BA03","118.49","-50.09","360","MS5611-01BA03"
"BARO28","MS5611-01BA03","118.49","-70.63","360","MS5611-01BA03"
"BARO29","MS5611-01BA03","118.49","-91.17","360","MS5611-01BA03"
"BARO30","MS5611-01BA03","139.03","-9.01","360","MS5611-01BA03"
"BARO31","MS5611-01BA03","139.03","-29.55","360","MS5611-01BA03"
"BARO32","MS5611-01BA03","139.03","-50.09","360","MS5611-01BA03"
"BARO33","MS5611-01BA03","139.03","-70.63","360","MS5611-01BA03"
"BARO34","MS5611-01BA03","139.03","-91.17","360","MS5611-01BA03"
"BARO35","MS5611-01BA03","159.57","-9.01","360","MS5611-01BA03"
"BARO36","MS5611-01BA03","159.57","-29.55","360","MS5611-01BA03"
"BARO37","MS5611-01BA03","159.57","-50.09","360","MS5611-01BA03"
"BARO38","MS5611-01BA03","159.57","-70.63","360","MS5611-01BA03"
"BARO39","MS5611-01BA03","159.57","-91.17","360","MS5611-01BA03"
"BARO40","MS5611-01BA03","180.11","-9.01","360","MS5611-01BA03"
"BARO41","MS5611-01BA03","180.11","-29.55","360","MS5611-01BA03"
"BARO42","MS5611-01BA03","180.11","-50.09","360","MS5611-01BA03"
"BARO43","MS5611-01BA03","180.11","-70.63","360","MS5611-01BA03"
"BARO44","MS5611-01BA03","180.11","-91.17","360","MS5611-01BA03"
"BARO45","MS5611-01BA03","200.65","-9.01","360","MS5611-01BA03"
"BARO46","MS5611-01BA03","200.65","-29.55","360","MS5611-01BA03"
"BARO47","MS5611-01BA03","200.65","-50.09","360","MS5611-01BA03"
"BARO48","MS5611-01BA03","200.65","-70.63","360","MS5611-01BA03"
"BARO49","MS5611-01BA03","200.65","-91.17","360","MS5611-01BA03"
"C25","PART"," 9.65","-24.99","270","0.1uF"
"C29","PART"," 9.65","-4.45","270","0.1uF"
"C30","PART"," 8.33","-5.02","360","0.1uF"
"C32","PART","16.33","-5.92","180","0.1uF"
"C45","PART"," 8.33","-25.56","360","0.1uF"
"C46","PART","16.33","-26.46","180","0.1uF"
"C52","PART"," 9.65","-45.53","270","0.1uF"
"C68","PART"," 8.33","-46.10","360","0.1uF"
"C69","PART","16.33","-47.00","180","0.1uF"
"C75","PART"," 9.65","-66.07","270","0.1uF"
"C91","PART"," 8.33","-66.64","360","0.1uF"
"C92","PART","16.33","-67.54","180","0.1uF"
"C98","PART"," 9.65","-86.61","270","0.1uF"
"C114","PART"," 8.33","-87.18","360","0.1uF"
"C115","PART","16.33","-88.08","180","0.1uF"
"C121","PART","30.19","-4.45","270","0.1uF"
"C137","PART","28.87","-5.02","360","0.1uF"
"C138","PART","36.87","-5.92","180","0.1uF"
