"Designator","Footprint","X","Y","Rotation","Value"
"ANT","ANT_BAR"," 1.15"," 8.97"," 90","PULSE_ANT_2.4GHZ"
"ANT1","ANT_BAR"," 1.15","29.51"," 90","PULSE_ANT_2.4GHZ"
"ANT2","ANT_BAR"," 1.15","50.05"," 90","PULSE_ANT_2.4GHZ"
"ANT3","ANT_BAR"," 1.15","70.59"," 90","PULSE_ANT_2.4GHZ"
"ANT4","ANT_BAR"," 1.15","91.13"," 90","PULSE_ANT_2.4GHZ"
"ANT5","ANT_BAR","21.69"," 8.97"," 90","PULSE_ANT_2.4GHZ"
"ANT6","ANT_BAR","21.69","29.51"," 90","PULSE_ANT_2.4GHZ"
"ANT7","ANT_BAR","21.69","50.05"," 90","PULSE_ANT_2.4GHZ"
"ANT8","ANT_BAR","21.69","70.59"," 90","PULSE_ANT_2.4GHZ"
"ANT9","ANT_BAR","21.69","91.13"," 90","PULSE_ANT_2.4GHZ"
"ANT10","ANT_BAR","42.23"," 8.97"," 90","PULSE_ANT_2.4GHZ"
"ANT11","ANT_BAR","42.23","29.51"," 90","PULSE_ANT_2.4GHZ"
"ANT12","ANT_BAR","42.23","50.05"," 90","PULSE_ANT_2.4GHZ"
"ANT13","ANT_BAR","42.23","70.59"," 90","PULSE_ANT_2.4GHZ"
"ANT14","ANT_BAR","42.23","91.13"," 90","PULSE_ANT_2.4GHZ"
"ANT15","ANT_BAR","62.77"," 8.97"," 90","PULSE_ANT_2.4GHZ"
"ANT16","ANT_BAR","62.77","29.51"," 90","PULSE_ANT_2.4GHZ"
"ANT17","ANT_BAR","62.77","50.05"," 90","PULSE_ANT_2.4GHZ"
"ANT18","ANT_BAR","62.77","70.59"," 90","PULSE_ANT_2.4GHZ"
"ANT19","ANT_BAR","62.77","91.13"," 90","PULSE_ANT_2.4GHZ"
"ANT20","ANT_BAR","83.31"," 8.97"," 90","PULSE_ANT_2.4GHZ"
"ANT21","ANT_BAR","83.31","29.51"," 90","PULSE_ANT_2.4GHZ"
"ANT22","ANT_BAR","83.31","50.05"," 90","PULSE_ANT_2.4GHZ"
"ANT23","ANT_BAR","83.31","70.59"," 90","PULSE_ANT_2.4GHZ"
"ANT24","ANT_BAR","83.31","91.13"," 90","PULSE_ANT_2.4GHZ"
"ANT25","ANT_BAR","103.85"," 8.97"," 90","PULSE_ANT_2.4GHZ"
"ANT26","ANT_BAR","103.85","29.51"," 90","PULSE_ANT_2.4GHZ"
"ANT27","ANT_BAR","103.85","50.05"," 90","PULSE_ANT_2.4GHZ"
"ANT28","ANT_BAR","103.85","70.59"," 90","PULSE_ANT_2.4GHZ"
"ANT29","ANT_BAR","103.85","91.13"," 90","PULSE_ANT_2.4GHZ"
"ANT30","ANT_BAR","124.39"," 8.97"," 90","PULSE_ANT_2.4GHZ"
"ANT31","ANT_BAR","124.39","29.51"," 90","PULSE_ANT_2.4GHZ"
"ANT32","ANT_BAR","124.39","50.05"," 90","PULSE_ANT_2.4GHZ"
"ANT33","ANT_BAR","124.39","70.59"," 90","PULSE_ANT_2.4GHZ"
"ANT34","ANT_BAR","124.39","91.13"," 90","PULSE_ANT_2.4GHZ"
"ANT35","ANT_BAR","144.93"," 8.97"," 90","PULSE_ANT_2.4GHZ"
"ANT36","ANT_BAR","144.93","29.51"," 90","PULSE_ANT_2.4GHZ"
"ANT37","ANT_BAR","144.93","50.05"," 90","PULSE_ANT_2.4GHZ"
"ANT38","ANT_BAR","144.93","70.59"," 90","PULSE_ANT_2.4GHZ"
"ANT39","ANT_BAR","144.93","91.13"," 90","PULSE_ANT_2.4GHZ"
"ANT40","ANT_BAR","165.47"," 8.97"," 90","PULSE_ANT_2.4GHZ"
"ANT41","ANT_BAR","165.47","29.51"," 90","PULSE_ANT_2.4GHZ"
"ANT42","ANT_BAR","165.47","50.05"," 90","PULSE_ANT_2.4GHZ"
"ANT43","ANT_BAR","165.47","70.59"," 90","PULSE_ANT_2.4GHZ"
"ANT44","ANT_BAR","165.47","91.13"," 90","PULSE_ANT_2.4GHZ"
"ANT45","ANT_BAR","186.01"," 8.97"," 90","PULSE_ANT_2.4GHZ"
"ANT46","ANT_BAR","186.01","29.51"," 90","PULSE_ANT_2.4GHZ"
"ANT47","ANT_BAR","186.01","50.05"," 90","PULSE_ANT_2.4GHZ"
"ANT48","ANT_BAR","186.01","70.59"," 90","PULSE_ANT_2.4GHZ"
"ANT49","ANT_BAR","186.01","91.13"," 90","PULSE_ANT_2.4GHZ"
"BAL","0805_BALUN"," 3.05"," 9.58","270","JOHANSON_2450BM15A0015E"
"BAL1","0805_BALUN"," 3.05","30.12","270","JOHANSON_2450BM15A0015E"
"BAL2","0805_BALUN"," 3.05","50.66","270","JOHANSON_2450BM15A0015E"
"BAL3","0805_BALUN"," 3.05","71.20","270","JOHANSON_2450BM15A0015E"
"BAL4","0805_BALUN"," 3.05","91.74","270","JOHANSON_2450BM15A0015E"
"BAL5","0805_BALUN","23.59"," 9.58","270","JOHANSON_2450BM15A0015E"
"BAL6","0805_BALUN","23.59","30.12","270","JOHANSON_2450BM15A0015E"
"BAL7","0805_BALUN","23.59","50.66","270","JOHANSON_2450BM15A0015E"
"BAL8","0805_BALUN","23.59","71.20","270","JOHANSON_2450BM15A0015E"
"BAL9","0805_BALUN","23.59","91.74","270","JOHANSON_2450BM15A0015E"
"BAL10","0805_BALUN","44.13"," 9.58","270","JOHANSON_2450BM15A0015E"
"BAL11","0805_BALUN","44.13","30.12","270","JOHANSON_2450BM15A0015E"
"BAL12","0805_BALUN","44.13","50.66","270","JOHANSON_2450BM15A0015E"
"BAL13","0805_BALUN","44.13","71.20","270","JOHANSON_2450BM15A0015E"
"BAL14","0805_BALUN","44.13","91.74","270","JOHANSON_2450BM15A0015E"
"BAL15","0805_BALUN","64.67"," 9.58","270","JOHANSON_2450BM15A0015E"
"BAL16","0805_BALUN","64.67","30.12","270","JOHANSON_2450BM15A0015E"
"BAL17","0805_BALUN","64.67","50.66","270","JOHANSON_2450BM15A0015E"
"BAL18","0805_BALUN","64.67","71.20","270","JOHANSON_2450BM15A0015E"
"BAL19","0805_BALUN","64.67","91.74","270","JOHANSON_2450BM15A0015E"
"BAL20","0805_BALUN","85.21"," 9.58","270","JOHANSON_2450BM15A0015E"
"BAL21","0805_BALUN","85.21","30.12","270","JOHANSON_2450BM15A0015E"
"BAL22","0805_BALUN","85.21","50.66","270","JOHANSON_2450BM15A0015E"
"BAL23","0805_BALUN","85.21","71.20","270","JOHANSON_2450BM15A0015E"
"BAL24","0805_BALUN","85.21","91.74","270","JOHANSON_2450BM15A0015E"
"BAL25","0805_BALUN","105.75"," 9.58","270","JOHANSON_2450BM15A0015E"
"BAL26","0805_BALUN","105.75","30.12","270","JOHANSON_2450BM15A0015E"
"BAL27","0805_BALUN","105.75","50.66","270","JOHANSON_2450BM15A0015E"
"BAL28","0805_BALUN","105.75","71.20","270","JOHANSON_2450BM15A0015E"
"BAL29","0805_BALUN","105.75","91.74","270","JOHANSON_2450BM15A0015E"
"BAL30","0805_BALUN","126.29"," 9.58","270","JOHANSON_2450BM15A0015E"
"BAL31","0805_BALUN","126.29","30.12","270","JOHANSON_2450BM15A0015E"
"BAL32","0805_BALUN","126.29","50.66","270","JOHANSON_2450BM15A0015E"
"BAL33","0805_BALUN","126.29","71.20","270","JOHANSON_2450BM15A0015E"
"BAL34","0805_BALUN","126.29","91.74","270","JOHANSON_2450BM15A0015E"
"BAL35","0805_BALUN","146.83"," 9.58","270","JOHANSON_2450BM15A0015E"
"BAL36","0805_BALUN","146.83","30.12","270","JOHANSON_2450BM15A0015E"
"BAL37","0805_BALUN","146.83","50.66","270","JOHANSON_2450BM15A0015E"
"BAL38","0805_BALUN","146.83","71.20","270","JOHANSON_2450BM15A0015E"
"BAL39","0805_BALUN","146.83","91.74","270","JOHANSON_2450BM15A0015E"
"BAL40","0805_BALUN","167.37"," 9.58","270","JOHANSON_2450BM15A0015E"
"BAL41","0805_BALUN","167.37","30.12","270","JOHANSON_2450BM15A0015E"
"BAL42","0805_BALUN","167.37","50.66","270","JOHANSON_2450BM15A0015E"
"BAL43","0805_BALUN","167.37","71.20","270","JOHANSON_2450BM15A0015E"
"BAL44","0805_BALUN","167.37","91.74","270","JOHANSON_2450BM15A0015E"
"BAL45","0805_BALUN","187.91"," 9.58","270","JOHANSON_2450BM15A0015E"
"BAL46","0805_BALUN","187.91","30.12","270","JOHANSON_2450BM15A0015E"
"BAL47","0805_BALUN","187.91","50.66","270","JOHANSON_2450BM15A0015E"
"BAL48","0805_BALUN","187.91","71.20","270","JOHANSON_2450BM15A0015E"
"BAL49","0805_BALUN","187.91","91.74","270","JOHANSON_2450BM15A0015E"
"BTN","SPST_SMD","14.25"," 3.66","270","DNP"
"BTN1","SPST_SMD","14.25","24.20","270","DNP"
"BTN2","SPST_SMD","14.25","44.74","270","DNP"
"BTN3","SPST_SMD","14.25","65.28","270","DNP"
"BTN4","SPST_SMD","14.25","85.82","270","DNP"
