"Designator","Footprint","X","Y","Rotation","Value"
"BARO","MS5611-01BA03","22.87","-14.09","360","MS5611-01BA03"
"C29","PART","16.73","-9.53","270","0.1uF"
"C30","PART","15.41","-10.10","360","0.1uF"
"C32","PART","23.41","-11.00","180","0.1uF"
"FID4","FIDUCIAL_1MM"," 2.54","-7.62","360","FIDUCIAL"
"FID5","FIDUCIAL_1MM"," 2.54","-20.32","360","FIDUCIAL"
"FID6","FIDUCIAL_1MM","30.48","-20.32","360","FIDUCIAL"
"IMU","QFN_3X3MM","18.57","-13.45","360","MPU-9250"
"R8","PART","16.78","-18.85","270","2.2K"
"R9","PART","15.82","-18.85","270","2.2K"
"SJ1","SOLDER_JUMP_CLOSED","13.81","-11.81"," 90","SOLDER_JUMPER_CLOSED"
