"Designator","Footprint","X","Y","Rotation","Value"
"BAL","0805_BALUN","10.13","14.66","270","JOHANSON_2450BM15A0015E"
"BTN","SPST_SMD","21.33"," 8.74","270","DNP"
"C1","PART","20.24"," 8.10","270","0.1uF"
"C2","PART","15.44","11.40","  0","0.1uF"
"C3","PART","10.41","10.87"," 45","10pF"
"C4","PART","11.50","11.89","225","10pF"
"C5","_0402MP","18.21"," 8.13","180","2.2uF"
"C6","_0402MP","15.21"," 8.91","180","2.2uF"
"C7","PART","15.36"," 7.39","180","0.47uF"
"C8","PART","19.53","19.05","180","0.1uF"
"C9","PART","18.59","17.45","  0","0.1uF"
"C10","PART","13.71"," 8.23","180","0.1uF"
"C11","PART"," 9.87","16.51","180","22pF, C0G, 5%"
"C12","PART"," 9.39","12.47"," 90","22pF, C0G, 5%"
"C13","PART","10.15","12.47"," 90","DNP"
"C14","PART","13.40","20.12","270","9pF"
"C15","PART","18.21","19.18","270","9pF"
"C16","PART","15.41","10.10","  0","0.1uF"
"C17","PART","19.27","18.19","180","0.1uF"
"C21","_0402MP","10.84","20.04","180","10uF"
"C22","_0402MP","11.86","19.20","  0","10uF"
"C31","PART","13.61"," 7.47","  0","10nF"
"FB1","_0603MP","18.66","10.08","180",""
"FID1","FIDUCIAL_1MM"," 2.54"," 7.62","  0","FIDUCIAL"
"FID2","FIDUCIAL_1MM"," 2.54","20.32","  0","FIDUCIAL"
"FID3","FIDUCIAL_1MM","30.48","20.32","  0","FIDUCIAL"
"IC","QFN32","14.89","15.00","270","ATSAMR21E18A-MUT"
"L6","_0603MP","10.97","18.26","  0","10uH"
"LDO_VREG","MCP1700T-3302E/TT","16.72"," 8.15"," 90","MCP1700T-3302E/TT"
"LED2","CHIPLED_0603_NOOUTLINE","20.29","20.37","270","BLUE"
"R1","PART","19.73"," 9.14","180","330"
"R2","PART","19.40"," 8.10","270","10K"
"R4","PART","18.59","20.73","270","330"
"U$8","0479480001"," 7.07","14.09","180","0479480001"
"USB","USB_MICROB_PACKAGE","22.13","14.10"," 90","USB_MICROB"
"XOSC","TSX-3225","12.24"," 9.93"," 45","12MHz"
"XOSCRF","TSX-3225","15.85","19.88","  0","16MHz"
