"Designator","Footprint","X","Y","Rotation","Value"
"BARO","MS5611-01BA03","22.87","-14.09","360","MS5611-01BA03"
"BARO1","MS5611-01BA03","22.87","-39.49","360","MS5611-01BA03"
"BARO2","MS5611-01BA03","22.87","-64.89","360","MS5611-01BA03"
"BARO3","MS5611-01BA03","53.35","-14.09","360","MS5611-01BA03"
"BARO4","MS5611-01BA03","53.35","-39.49","360","MS5611-01BA03"
"BARO5","MS5611-01BA03","53.35","-64.89","360","MS5611-01BA03"
"C25","PART","16.73","-34.93","270","0.1uF"
"C29","PART","16.73","-9.53","270","0.1uF"
"C30","PART","15.41","-10.10","360","0.1uF"
"C32","PART","23.41","-11.00","180","0.1uF"
"C45","PART","15.41","-35.50","360","0.1uF"
"C46","PART","23.41","-36.40","180","0.1uF"
"C52","PART","16.73","-60.33","270","0.1uF"
"C68","PART","15.41","-60.90","360","0.1uF"
"C69","PART","23.41","-61.80","180","0.1uF"
"C75","PART","47.21","-9.53","270","0.1uF"
"C91","PART","45.89","-10.10","360","0.1uF"
"C92","PART","53.89","-11.00","180","0.1uF"
"C98","PART","47.21","-34.93","270","0.1uF"
"C114","PART","45.89","-35.50","360","0.1uF"
"C115","PART","53.89","-36.40","180","0.1uF"
"C121","PART","47.21","-60.33","270","0.1uF"
"C137","PART","45.89","-60.90","360","0.1uF"
"C138","PART","53.89","-61.80","180","0.1uF"
"FID4","FIDUCIAL_1MM"," 2.54","-7.62","360","FIDUCIAL"
"FID5","FIDUCIAL_1MM"," 2.54","-71.12","360","FIDUCIAL"
"FID6","FIDUCIAL_1MM","60.96","-71.12","360","FIDUCIAL"
"IMU","QFN_3X3MM","18.57","-13.45","360","MPU-9250"
"IMU1","QFN_3X3MM","18.57","-38.84","360","MPU-9250"
"IMU2","QFN_3X3MM","18.57","-64.25","360","MPU-9250"
"IMU3","QFN_3X3MM","49.05","-13.45","360","MPU-9250"
"IMU4","QFN_3X3MM","49.05","-38.84","360","MPU-9250"
"IMU5","QFN_3X3MM","49.05","-64.25","360","MPU-9250"
"R7","PART","16.78","-44.25","270","2.2K"
"R8","PART","16.78","-18.85","270","2.2K"
"R9","PART","15.82","-18.85","270","2.2K"
"R10","PART","15.82","-44.25","270","2.2K"
"R14","PART","16.78","-69.65","270","2.2K"
"R15","PART","15.82","-69.65","270","2.2K"
"R19","PART","47.26","-18.85","270","2.2K"
"R20","PART","46.30","-18.85","270","2.2K"
"R24","PART","47.26","-44.25","270","2.2K"
"R25","PART","46.30","-44.25","270","2.2K"
"R29","PART","47.26","-69.65","270","2.2K"
"R30","PART","46.30","-69.65","270","2.2K"
"SJ1","SOLDER_JUMP_CLOSED","13.81","-11.81"," 90","SOLDER_JUMPER_CLOSED"
"SJ2","SOLDER_JUMP_CLOSED","13.81","-37.21"," 90","SOLDER_JUMPER_CLOSED"
"SJ3","SOLDER_JUMP_CLOSED","13.81","-62.61"," 90","SOLDER_JUMPER_CLOSED"
"SJ4","SOLDER_JUMP_CLOSED","44.29","-11.81"," 90","SOLDER_JUMPER_CLOSED"
"SJ5","SOLDER_JUMP_CLOSED","44.29","-37.21"," 90","SOLDER_JUMPER_CLOSED"
"SJ6","SOLDER_JUMP_CLOSED","44.29","-62.61"," 90","SOLDER_JUMPER_CLOSED"
