"Designator","Footprint","X","Y","Rotation","Value"
"BAL","0805_BALUN","10.13","14.66","270","JOHANSON_2450BM15A0015E"
"BAL1","0805_BALUN","10.13","40.06","270","JOHANSON_2450BM15A0015E"
"BAL2","0805_BALUN","10.13","65.46","270","JOHANSON_2450BM15A0015E"
"BAL3","0805_BALUN","40.61","14.66","270","JOHANSON_2450BM15A0015E"
"BAL4","0805_BALUN","40.61","40.06","270","JOHANSON_2450BM15A0015E"
"BAL5","0805_BALUN","40.61","65.46","270","JOHANSON_2450BM15A0015E"
"BTN","SPST_SMD","21.33"," 8.74","270","DNP"
"BTN1","SPST_SMD","21.33","34.14","270","DNP"
"BTN2","SPST_SMD","21.33","59.54","270","DNP"
"BTN3","SPST_SMD","51.81"," 8.74","270","DNP"
"BTN4","SPST_SMD","51.81","34.14","270","DNP"
"BTN5","SPST_SMD","51.81","59.54","270","DNP"
"C1","PART","20.24"," 8.10","270","0.1uF"
"C2","PART","15.44","11.40","  0","0.1uF"
"C3","PART","10.41","10.87"," 45","10pF"
"C4","PART","11.50","11.89","225","10pF"
"C5","_0402MP","18.21"," 8.13","180","2.2uF"
"C6","_0402MP","15.21"," 8.91","180","2.2uF"
"C7","PART","15.36"," 7.39","180","0.47uF"
"C8","PART","19.53","19.05","180","0.1uF"
"C9","PART","18.59","17.45","  0","0.1uF"
"C10","PART","13.71"," 8.23","180","0.1uF"
"C11","PART"," 9.87","16.51","180","22pF, C0G, 5%"
"C12","PART"," 9.39","12.47"," 90","22pF, C0G, 5%"
"C13","PART","10.15","12.47"," 90","DNP"
"C14","PART","13.40","20.12","270","9pF"
"C15","PART","18.21","19.18","270","9pF"
"C16","PART","15.41","10.10","  0","0.1uF"
"C17","PART","19.27","18.19","180","0.1uF"
"C18","PART","20.24","33.50","270","0.1uF"
"C19","PART","15.44","36.80","  0","0.1uF"
"C20","_0402MP","18.21","33.53","180","2.2uF"
"C21","_0402MP","10.84","20.04","180","10uF"
"C22","_0402MP","11.86","19.20","  0","10uF"
"C23","_0402MP","15.21","34.31","180","2.2uF"
"C24","PART","15.36","32.79","180","0.47uF"
"C26","PART","19.53","44.45","180","0.1uF"
"C27","PART","18.59","42.85","  0","0.1uF"
"C28","PART","15.41","35.50","  0","0.1uF"
"C31","PART","13.61"," 7.47","  0","10nF"
"C33","PART","19.27","43.59","180","0.1uF"
"C34","_0402MP","10.84","45.44","180","10uF"
"C35","_0402MP","11.86","44.60","  0","10uF"
"C36","PART","13.71","33.63","180","0.1uF"
"C37","PART","10.41","36.27"," 45","10pF"
"C38","PART","11.50","37.29","225","10pF"
"C39","PART"," 9.87","41.91","180","22pF, C0G, 5%"
"C40","PART"," 9.39","37.87"," 90","22pF, C0G, 5%"
"C41","PART","10.15","37.87"," 90","DNP"
"C42","PART","13.40","45.52","270","9pF"
"C43","PART","18.21","44.58","270","9pF"
"C44","PART","13.61","32.87","  0","10nF"
"C47","PART","20.24","58.90","270","0.1uF"
"C48","PART","15.44","62.20","  0","0.1uF"
"C49","_0402MP","18.21","58.93","180","2.2uF"
"C50","_0402MP","15.21","59.71","180","2.2uF"
"C51","PART","15.36","58.19","180","0.47uF"
"C53","PART","19.53","69.85","180","0.1uF"
"C54","PART","18.59","68.25","  0","0.1uF"
"C55","PART","15.41","60.90","  0","0.1uF"
