"Designator","Footprint","X","Y","Rotation","Value"
"BAL1","0805_BALUN","10.13","40.06","270","JOHANSON_2450BM15A0015E"
"BAL2","0805_BALUN","10.13","65.46","270","JOHANSON_2450BM15A0015E"
"BAL4","0805_BALUN","40.61","40.06","270","JOHANSON_2450BM15A0015E"
"BAL5","0805_BALUN","40.61","65.46","270","JOHANSON_2450BM15A0015E"
"BTN1","SPST_SMD","21.33","34.14","270","DNP"
"BTN2","SPST_SMD","21.33","59.54","270","DNP"
"BTN4","SPST_SMD","51.81","34.14","270","DNP"
"BTN5","SPST_SMD","51.81","59.54","270","DNP"
"C18","PART","20.24","33.50","270","0.1uF"
"C19","PART","15.44","36.80","  0","0.1uF"
"C20","_0402MP","18.21","33.53","180","2.2uF"
"C23","_0402MP","15.21","34.31","180","2.2uF"
"C24","PART","15.36","32.79","180","0.47uF"
"C26","PART","19.53","44.45","180","0.1uF"
"C27","PART","18.59","42.85","  0","0.1uF"
"C28","PART","15.41","35.50","  0","0.1uF"
"C33","PART","19.27","43.59","180","0.1uF"
"C34","_0402MP","10.84","45.44","180","10uF"
"C35","_0402MP","11.86","44.60","  0","10uF"
"C36","PART","13.71","33.63","180","0.1uF"
"C37","PART","10.41","36.27"," 45","10pF"
"C38","PART","11.50","37.29","225","10pF"
"C39","PART"," 9.87","41.91","180","22pF, C0G, 5%"
"C40","PART"," 9.39","37.87"," 90","22pF, C0G, 5%"
"C41","PART","10.15","37.87"," 90","DNP"
"C42","PART","13.40","45.52","270","9pF"
"C43","PART","18.21","44.58","270","9pF"
"C44","PART","13.61","32.87","  0","10nF"
"C47","PART","20.24","58.90","270","0.1uF"
"C48","PART","15.44","62.20","  0","0.1uF"
"C49","_0402MP","18.21","58.93","180","2.2uF"
"C50","_0402MP","15.21","59.71","180","2.2uF"
"C51","PART","15.36","58.19","180","0.47uF"
"C53","PART","19.53","69.85","180","0.1uF"
"C54","PART","18.59","68.25","  0","0.1uF"
"C55","PART","15.41","60.90","  0","0.1uF"
"C56","PART","19.27","68.99","180","0.1uF"
"C57","_0402MP","10.84","70.84","180","10uF"
"C58","_0402MP","11.86","70.00","  0","10uF"
"C59","PART","13.71","59.03","180","0.1uF"
"C60","PART","10.41","61.67"," 45","10pF"
"C61","PART","11.50","62.69","225","10pF"
"C62","PART"," 9.87","67.31","180","22pF, C0G, 5%"
"C63","PART"," 9.39","63.27"," 90","22pF, C0G, 5%"
"C64","PART","10.15","63.27"," 90","DNP"
"C65","PART","13.40","70.92","270","9pF"
"C66","PART","18.21","69.98","270","9pF"
"C67","PART","13.61","58.27","  0","10nF"
"C93","PART","50.72","33.50","270","0.1uF"
"C94","PART","45.92","36.80","  0","0.1uF"
"C95","_0402MP","48.69","33.53","180","2.2uF"
"C96","_0402MP","45.69","34.31","180","2.2uF"
"C97","PART","45.84","32.79","180","0.47uF"
"C99","PART","50.01","44.45","180","0.1uF"
"C100","PART","49.07","42.85","  0","0.1uF"
"C101","PART","45.89","35.50","  0","0.1uF"
"C102","PART","49.75","43.59","180","0.1uF"
"C103","_0402MP","41.32","45.44","180","10uF"
"C104","_0402MP","42.34","44.60","  0","10uF"
"C105","PART","44.19","33.63","180","0.1uF"
"C106","PART","40.89","36.27"," 45","10pF"
"C107","PART","41.98","37.29","225","10pF"
"C108","PART","40.35","41.91","180","22pF, C0G, 5%"
"C109","PART","39.87","37.87"," 90","22pF, C0G, 5%"
"C110","PART","40.63","37.87"," 90","DNP"
"C111","PART","43.88","45.52","270","9pF"
"C112","PART","48.69","44.58","270","9pF"
"C113","PART","44.09","32.87","  0","10nF"
"C116","PART","50.72","58.90","270","0.1uF"
"C117","PART","45.92","62.20","  0","0.1uF"
"C118","_0402MP","48.69","58.93","180","2.2uF"
