##########################################################################
       Name: Placement Bill of Materials Generator

    Version: 4 (2-sided, top)
         By: Small Batch Assembly
        URL: www.smallbatchassembly.com
 SourceFile: femtoBeacon_r2.0.7_RGB_OTG_PANELIZED.brd
   DateTime: 12/2/17 11:57 PM
      Units: inches
##########################################################################
REF,PACKAGE,VALUE,X,Y,ROTATION,
ANT_SMD   , 0479480001            , 0479480001     , 0.2137, 0.5543, 180.0
ANT_SMD1   , 0479480001            , 0479480001     , 0.2137, 1.5543, 180.0
ANT_SMD2   , 0479480001            , 0479480001     , 0.2137, 2.5543, 180.0
ANT_SMD3   , 0479480001            , 0479480001     , 0.2137, 3.5543, 180.0
ANT_SMD4   , 0479480001            , 0479480001     , 1.2137, 0.5543, 180.0
ANT_SMD5   , 0479480001            , 0479480001     , 1.2137, 1.5543, 180.0
ANT_SMD6   , 0479480001            , 0479480001     , 1.2137, 2.5543, 180.0
ANT_SMD7   , 0479480001            , 0479480001     , 1.2137, 3.5543, 180.0
ANT_SMD8   , 0479480001            , 0479480001     , 2.2137, 0.5543, 180.0
ANT_SMD9   , 0479480001            , 0479480001     , 2.2137, 1.5543, 180.0
ANT_SMD10   , 0479480001            , 0479480001     , 2.2137, 2.5543, 180.0
ANT_SMD11   , 0479480001            , 0479480001     , 2.2137, 3.5543, 180.0
ANT_SMD12   , 0479480001            , 0479480001     , 3.2137, 0.5543, 180.0
ANT_SMD13   , 0479480001            , 0479480001     , 3.2137, 1.5543, 180.0
ANT_SMD14   , 0479480001            , 0479480001     , 3.2137, 2.5543, 180.0
ANT_SMD15   , 0479480001            , 0479480001     , 3.2137, 3.5543, 180.0
ANT_SMD16   , 0479480001            , 0479480001     , 4.2137, 0.5543, 180.0
ANT_SMD17   , 0479480001            , 0479480001     , 4.2137, 1.5543, 180.0
ANT_SMD18   , 0479480001            , 0479480001     , 4.2137, 2.5543, 180.0
ANT_SMD19   , 0479480001            , 0479480001     , 4.2137, 3.5543, 180.0
BALUN   , 0805_BALUN            , JOHANSON_2450BM15A0015E     , 0.3937, 0.5770, 270.0
BALUN1   , 0805_BALUN            , JOHANSON_2450BM15A0015E     , 0.3937, 1.5770, 270.0
BALUN2   , 0805_BALUN            , JOHANSON_2450BM15A0015E     , 0.3937, 2.5770, 270.0
BALUN3   , 0805_BALUN            , JOHANSON_2450BM15A0015E     , 0.3937, 3.5770, 270.0
BALUN4   , 0805_BALUN            , JOHANSON_2450BM15A0015E     , 1.3937, 0.5770, 270.0
BALUN5   , 0805_BALUN            , JOHANSON_2450BM15A0015E     , 1.3937, 1.5770, 270.0
BALUN6   , 0805_BALUN            , JOHANSON_2450BM15A0015E     , 1.3937, 2.5770, 270.0
BALUN7   , 0805_BALUN            , JOHANSON_2450BM15A0015E     , 1.3937, 3.5770, 270.0
BALUN8   , 0805_BALUN            , JOHANSON_2450BM15A0015E     , 2.3937, 0.5770, 270.0
