##########################################################################
       Name: Placement Bill of Materials Generator

    Version: 5 (2-sided bottom)
         By: Small Batch Assembly
        URL: www.smallbatchassembly.com
 SourceFile: femtoBeacon_r2.0.7_RGB_OTG_PANELIZED.brd
   DateTime: 12/2/17 11:57 PM
      Units: inches
##########################################################################
REF,PACKAGE,VALUE,X,Y,ROTATION,
ASWITCH   , AS222-92LF            , AS222-92LF     , -0.3250, 0.5550, 0.0
ASWITCH1   , AS222-92LF            , AS222-92LF     , -0.3250, 1.5550, 0.0
ASWITCH2   , AS222-92LF            , AS222-92LF     , -0.3250, 2.5550, 0.0
ASWITCH3   , AS222-92LF            , AS222-92LF     , -0.3250, 3.5550, 0.0
ASWITCH4   , AS222-92LF            , AS222-92LF     , -1.3250, 0.5550, 0.0
ASWITCH5   , AS222-92LF            , AS222-92LF     , -1.3250, 1.5550, 0.0
ASWITCH6   , AS222-92LF            , AS222-92LF     , -1.3250, 2.5550, 0.0
ASWITCH7   , AS222-92LF            , AS222-92LF     , -1.3250, 3.5550, 0.0
ASWITCH8   , AS222-92LF            , AS222-92LF     , -2.3250, 0.5550, 0.0
ASWITCH9   , AS222-92LF            , AS222-92LF     , -2.3250, 1.5550, 0.0
ASWITCH10   , AS222-92LF            , AS222-92LF     , -2.3250, 2.5550, 0.0
ASWITCH11   , AS222-92LF            , AS222-92LF     , -2.3250, 3.5550, 0.0
ASWITCH12   , AS222-92LF            , AS222-92LF     , -3.3250, 0.5550, 0.0
ASWITCH13   , AS222-92LF            , AS222-92LF     , -3.3250, 1.5550, 0.0
ASWITCH14   , AS222-92LF            , AS222-92LF     , -3.3250, 2.5550, 0.0
ASWITCH15   , AS222-92LF            , AS222-92LF     , -3.3250, 3.5550, 0.0
ASWITCH16   , AS222-92LF            , AS222-92LF     , -4.3250, 0.5550, 0.0
ASWITCH17   , AS222-92LF            , AS222-92LF     , -4.3250, 1.5550, 0.0
ASWITCH18   , AS222-92LF            , AS222-92LF     , -4.3250, 2.5550, 0.0
ASWITCH19   , AS222-92LF            , AS222-92LF     , -4.3250, 3.5550, 0.0
BARO   , MS5611-01BA03            , MS5611-01BA03     , -0.9004, 0.5545, 0.0
BARO1   , MS5611-01BA03            , MS5611-01BA03     , -0.9004, 1.5545, 0.0
BARO2   , MS5611-01BA03            , MS5611-01BA03     , -0.9004, 2.5545, 0.0
BARO3   , MS5611-01BA03            , MS5611-01BA03     , -0.9004, 3.5545, 0.0
BARO4   , MS5611-01BA03            , MS5611-01BA03     , -1.9004, 0.5545, 0.0
BARO5   , MS5611-01BA03            , MS5611-01BA03     , -1.9004, 1.5545, 0.0
BARO6   , MS5611-01BA03            , MS5611-01BA03     , -1.9004, 2.5545, 0.0
BARO7   , MS5611-01BA03            , MS5611-01BA03     , -1.9004, 3.5545, 0.0
BARO8   , MS5611-01BA03            , MS5611-01BA03     , -2.9004, 0.5545, 0.0
BARO9   , MS5611-01BA03            , MS5611-01BA03     , -2.9004, 1.5545, 0.0
BARO10   , MS5611-01BA03            , MS5611-01BA03     , -2.9004, 2.5545, 0.0
BARO11   , MS5611-01BA03            , MS5611-01BA03     , -2.9004, 3.5545, 0.0
BARO12   , MS5611-01BA03            , MS5611-01BA03     , -3.9004, 0.5545, 0.0
BARO13   , MS5611-01BA03            , MS5611-01BA03     , -3.9004, 1.5545, 0.0
BARO14   , MS5611-01BA03            , MS5611-01BA03     , -3.9004, 2.5545, 0.0
BARO15   , MS5611-01BA03            , MS5611-01BA03     , -3.9004, 3.5545, 0.0
BARO16   , MS5611-01BA03            , MS5611-01BA03     , -4.9004, 0.5545, 0.0
BARO17   , MS5611-01BA03            , MS5611-01BA03     , -4.9004, 1.5545, 0.0
BARO18   , MS5611-01BA03            , MS5611-01BA03     , -4.9004, 2.5545, 0.0
BARO19   , MS5611-01BA03            , MS5611-01BA03     , -4.9004, 3.5545, 0.0
C18   , PART            , 22pF     , -0.2850, 0.6200, 180.0
C19   , PART            , 22pF     , -0.3650, 0.6250, 180.0
C20   , PART            , 22pF     , -0.2850, 0.4900, 180.0
C23   , PART            , 22pF     , -0.3650, 0.4900, 180.0
C27   , PART            , 0.1uF     , -0.6587, 1.3750, 90.0
C29   , PART            , 0.1uF     , -0.6587, 0.3750, 90.0
C30   , PART            , 0.1uF     , -0.6067, 0.3975, 0.0
C32   , PART            , 0.1uF     , -0.9217, 0.4330, 180.0
C42   , PART            , 0.1uF     , -0.6067, 1.3975, 0.0
C43   , PART            , 0.1uF     , -0.9217, 1.4330, 180.0
C47   , PART            , 22pF     , -0.2850, 1.6200, 180.0
C48   , PART            , 22pF     , -0.3650, 1.6250, 180.0
C49   , PART            , 22pF     , -0.2850, 1.4900, 180.0
C50   , PART            , 22pF     , -0.3650, 1.4900, 180.0
C56   , PART            , 0.1uF     , -0.6587, 2.3750, 90.0
C67   , PART            , 0.1uF     , -0.6067, 2.3975, 0.0
C68   , PART            , 0.1uF     , -0.9217, 2.4330, 180.0
C72   , PART            , 22pF     , -0.2850, 2.6200, 180.0
C73   , PART            , 22pF     , -0.3650, 2.6250, 180.0
C74   , PART            , 22pF     , -0.2850, 2.4900, 180.0
C75   , PART            , 22pF     , -0.3650, 2.4900, 180.0
C81   , PART            , 0.1uF     , -0.6587, 3.3750, 90.0
C92   , PART            , 0.1uF     , -0.6067, 3.3975, 0.0
C93   , PART            , 0.1uF     , -0.9217, 3.4330, 180.0
C97   , PART            , 22pF     , -0.2850, 3.6200, 180.0
C98   , PART            , 22pF     , -0.3650, 3.6250, 180.0
C99   , PART            , 22pF     , -0.2850, 3.4900, 180.0
C100   , PART            , 22pF     , -0.3650, 3.4900, 180.0
C106   , PART            , 0.1uF     , -1.6587, 0.3750, 90.0
C117   , PART            , 0.1uF     , -1.6067, 0.3975, 0.0
C118   , PART            , 0.1uF     , -1.9217, 0.4330, 180.0
C122   , PART            , 22pF     , -1.2850, 0.6200, 180.0
C123   , PART            , 22pF     , -1.3650, 0.6250, 180.0
C124   , PART            , 22pF     , -1.2850, 0.4900, 180.0
C125   , PART            , 22pF     , -1.3650, 0.4900, 180.0
C131   , PART            , 0.1uF     , -1.6587, 1.3750, 90.0
C142   , PART            , 0.1uF     , -1.6067, 1.3975, 0.0
C143   , PART            , 0.1uF     , -1.9217, 1.4330, 180.0
C147   , PART            , 22pF     , -1.2850, 1.6200, 180.0
C148   , PART            , 22pF     , -1.3650, 1.6250, 180.0
C149   , PART            , 22pF     , -1.2850, 1.4900, 180.0
C150   , PART            , 22pF     , -1.3650, 1.4900, 180.0
C156   , PART            , 0.1uF     , -1.6587, 2.3750, 90.0
C167   , PART            , 0.1uF     , -1.6067, 2.3975, 0.0
C168   , PART            , 0.1uF     , -1.9217, 2.4330, 180.0
C172   , PART            , 22pF     , -1.2850, 2.6200, 180.0
C173   , PART            , 22pF     , -1.3650, 2.6250, 180.0
C174   , PART            , 22pF     , -1.2850, 2.4900, 180.0
C175   , PART            , 22pF     , -1.3650, 2.4900, 180.0
C181   , PART            , 0.1uF     , -1.6587, 3.3750, 90.0
C192   , PART            , 0.1uF     , -1.6067, 3.3975, 0.0
C193   , PART            , 0.1uF     , -1.9217, 3.4330, 180.0
C197   , PART            , 22pF     , -1.2850, 3.6200, 180.0
C198   , PART            , 22pF     , -1.3650, 3.6250, 180.0
C199   , PART            , 22pF     , -1.2850, 3.4900, 180.0
C200   , PART            , 22pF     , -1.3650, 3.4900, 180.0
C206   , PART            , 0.1uF     , -2.6587, 0.3750, 90.0
C217   , PART            , 0.1uF     , -2.6067, 0.3975, 0.0
C218   , PART            , 0.1uF     , -2.9217, 0.4330, 180.0
C222   , PART            , 22pF     , -2.2850, 0.6200, 180.0
C223   , PART            , 22pF     , -2.3650, 0.6250, 180.0
C224   , PART            , 22pF     , -2.2850, 0.4900, 180.0
C225   , PART            , 22pF     , -2.3650, 0.4900, 180.0
C231   , PART            , 0.1uF     , -2.6587, 1.3750, 90.0
C242   , PART            , 0.1uF     , -2.6067, 1.3975, 0.0
C243   , PART            , 0.1uF     , -2.9217, 1.4330, 180.0
C247   , PART            , 22pF     , -2.2850, 1.6200, 180.0
C248   , PART            , 22pF     , -2.3650, 1.6250, 180.0
C249   , PART            , 22pF     , -2.2850, 1.4900, 180.0
C250   , PART            , 22pF     , -2.3650, 1.4900, 180.0
C256   , PART            , 0.1uF     , -2.6587, 2.3750, 90.0
C267   , PART            , 0.1uF     , -2.6067, 2.3975, 0.0
C268   , PART            , 0.1uF     , -2.9217, 2.4330, 180.0
C272   , PART            , 22pF     , -2.2850, 2.6200, 180.0
C273   , PART            , 22pF     , -2.3650, 2.6250, 180.0
C274   , PART            , 22pF     , -2.2850, 2.4900, 180.0
C275   , PART            , 22pF     , -2.3650, 2.4900, 180.0
C281   , PART            , 0.1uF     , -2.6587, 3.3750, 90.0
C292   , PART            , 0.1uF     , -2.6067, 3.3975, 0.0
C293   , PART            , 0.1uF     , -2.9217, 3.4330, 180.0
C297   , PART            , 22pF     , -2.2850, 3.6200, 180.0
C298   , PART            , 22pF     , -2.3650, 3.6250, 180.0
C299   , PART            , 22pF     , -2.2850, 3.4900, 180.0
C300   , PART            , 22pF     , -2.3650, 3.4900, 180.0
C306   , PART            , 0.1uF     , -3.6587, 0.3750, 90.0
C317   , PART            , 0.1uF     , -3.6067, 0.3975, 0.0
C318   , PART            , 0.1uF     , -3.9217, 0.4330, 180.0
C322   , PART            , 22pF     , -3.2850, 0.6200, 180.0
C323   , PART            , 22pF     , -3.3650, 0.6250, 180.0
C324   , PART            , 22pF     , -3.2850, 0.4900, 180.0
C325   , PART            , 22pF     , -3.3650, 0.4900, 180.0
C331   , PART            , 0.1uF     , -3.6587, 1.3750, 90.0
C342   , PART            , 0.1uF     , -3.6067, 1.3975, 0.0
C343   , PART            , 0.1uF     , -3.9217, 1.4330, 180.0
C347   , PART            , 22pF     , -3.2850, 1.6200, 180.0
C348   , PART            , 22pF     , -3.3650, 1.6250, 180.0
C349   , PART            , 22pF     , -3.2850, 1.4900, 180.0
C350   , PART            , 22pF     , -3.3650, 1.4900, 180.0
C356   , PART            , 0.1uF     , -3.6587, 2.3750, 90.0
C367   , PART            , 0.1uF     , -3.6067, 2.3975, 0.0
C368   , PART            , 0.1uF     , -3.9217, 2.4330, 180.0
C372   , PART            , 22pF     , -3.2850, 2.6200, 180.0
C373   , PART            , 22pF     , -3.3650, 2.6250, 180.0
C374   , PART            , 22pF     , -3.2850, 2.4900, 180.0
C375   , PART            , 22pF     , -3.3650, 2.4900, 180.0
C381   , PART            , 0.1uF     , -3.6587, 3.3750, 90.0
C392   , PART            , 0.1uF     , -3.6067, 3.3975, 0.0
C393   , PART            , 0.1uF     , -3.9217, 3.4330, 180.0
C397   , PART            , 22pF     , -3.2850, 3.6200, 180.0
C398   , PART            , 22pF     , -3.3650, 3.6250, 180.0
C399   , PART            , 22pF     , -3.2850, 3.4900, 180.0
C400   , PART            , 22pF     , -3.3650, 3.4900, 180.0
C406   , PART            , 0.1uF     , -4.6587, 0.3750, 90.0
C417   , PART            , 0.1uF     , -4.6067, 0.3975, 0.0
C418   , PART            , 0.1uF     , -4.9217, 0.4330, 180.0
C422   , PART            , 22pF     , -4.2850, 0.6200, 180.0
C423   , PART            , 22pF     , -4.3650, 0.6250, 180.0
C424   , PART            , 22pF     , -4.2850, 0.4900, 180.0
C425   , PART            , 22pF     , -4.3650, 0.4900, 180.0
C431   , PART            , 0.1uF     , -4.6587, 1.3750, 90.0
C442   , PART            , 0.1uF     , -4.6067, 1.3975, 0.0
C443   , PART            , 0.1uF     , -4.9217, 1.4330, 180.0
C447   , PART            , 22pF     , -4.2850, 1.6200, 180.0
C448   , PART            , 22pF     , -4.3650, 1.6250, 180.0
C449   , PART            , 22pF     , -4.2850, 1.4900, 180.0
C450   , PART            , 22pF     , -4.3650, 1.4900, 180.0
C456   , PART            , 0.1uF     , -4.6587, 2.3750, 90.0
C467   , PART            , 0.1uF     , -4.6067, 2.3975, 0.0
C468   , PART            , 0.1uF     , -4.9217, 2.4330, 180.0
C472   , PART            , 22pF     , -4.2850, 2.6200, 180.0
